,source,tag,video_id,post_date_utc,description,text_language,category_type,is_aigc,aigc_description,collected,is_reviewing,likes,comments,shares,views,author_follower_count,author_following_count,author_total_likes,author_video_count,datetime
12,TikTok,OliviaHenderson,7.58174E+18,2027-04-13 14:32:10.556000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fypシ #foryoupage,en,114,FALSE,,FALSE,FALSE,106,8,29,2849,10700,0,11300,50,12/9/2025 0:07
13,TikTok,OliviaHenderson,7.57392E+18,2027-03-23 00:55:49.591000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update,en,114,FALSE,,FALSE,FALSE,1387,76,84,143300,12500,0,42600,42,11/17/2025 22:39
15,TikTok,OliviaHenderson,7.57401E+18,2027-03-23 06:42:44.951000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY!#fyp #news #oliviahenderson #doordash #update,en,114,FALSE,,FALSE,FALSE,151,1,6,3837,9896,0,6603,54,11/18/2025 4:18
16,TikTok,OliviaHenderson,7.57372E+18,2027-03-22 11:30:35.510000+00:00,Doordash girl was arrested Aka Livie Henderson. This is the last video I'm making on this subject. Trolls will be blocked.,en,114,FALSE,,FALSE,FALSE,130,0,2,3388,30100,1656,2000000,2217,11/17/2025 9:33
17,TikTok,OliviaHenderson,7.59665E+18,2027-05-24 18:25:06.442000+00:00,The Secret Lives Of Mormon Wives coming to @hulu 9/6 @secretlivesonhulu 👀😜 #thesecretlivesofmormonwives ,en,109,FALSE,,FALSE,FALSE,55,0,0,920,58,0,7300,49,1/18/2026 4:51
18,TikTok,OliviaHenderson,7.57696E+18,2027-03-31 10:04:03.233000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!!#doordashgirl #oliviahenderson,en,114,FALSE,,FALSE,FALSE,347,26,20,61600,10300,0,17600,127,11/26/2025 3:04
19,TikTok,OliviaHenderson,7.5777E+18,2027-04-02 10:55:52.326000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,FALSE,,FALSE,FALSE,42,2,0,6731,10,0,249,26,11/28/2025 2:48
20,TikTok,OliviaHenderson,7.57345E+18,2027-03-21 17:52:50.915000+00:00,Think before you post ! #storytelling #storytimes #oliviahenderson #doordash #greenscreensticker ,en,114,FALSE,,FALSE,FALSE,13400,431,175,153700,11900,25,409800,46,11/16/2025 16:20
21,TikTok,OliviaHenderson,7.57355E+18,2027-03-22 00:21:06.634000+00:00,Replying to @ghettoasskorean #themanicuredmom #doordashgirl #oliviahendersen #falseallegationsruinlives #idontbelieveallwomen ,un,114,FALSE,,FALSE,FALSE,3697,382,74,290800,260000,3374,4800000,2230,11/16/2025 22:39
23,TikTok,OliviaHenderson,7.57299E+18,2027-03-20 11:24:00.953000+00:00,"Replying to @Chris Cadence  @Stephanie, Esq. #irlmonsterhighdoll #oliviahenderson ",un,114,FALSE,,FALSE,FALSE,179,23,5,8625,21900,800,2200000,2220,11/15/2025 10:34
24,TikTok,OliviaHenderson,7.57848E+18,2027-04-04 14:55:22.811000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson ,en,114,FALSE,,FALSE,FALSE,127,10,1,2957,13100,28,160200,766,11/30/2025 5:34
25,TikTok,OliviaHenderson,7.57326E+18,2027-03-21 05:24:46.513000+00:00,Olivia Henderson KAK DoorDash Girl has been ARRESTED! 11/15 #fyp #news #breakingnews #truecrime #doordash ,en,114,FALSE,,FALSE,FALSE,122,3,5,19200,12000,1,133900,233,11/16/2025 4:09
26,TikTok,OliviaHenderson,7.59765E+18,2027-05-27 12:34:56.013000+00:00,Door Dash girl update 1/20/26  #doordashgirl #oliviahenderson #doordash #doordashdriver #truecrime ,en,114,FALSE,,FALSE,FALSE,146,6,0,5089,76400,6688,3800000,2101,1/20/2026 21:28
27,TikTok,OliviaHenderson,7.57512E+18,2027-03-26 08:13:30.605000+00:00,Y’all remember that #DoorDashgirl story from a month ago Well girl girl has been arrested for recording the customer inside of his home and posting it online.#truecrime #doordash #lawandorder,en,114,FALSE,,FALSE,FALSE,47,4,0,4089,782,0,34600,39,11/21/2025 4:05
28,TikTok,OliviaHenderson,7.57303E+18,2027-03-20 14:06:41.329000+00:00,Replying to @Briansgurl2018 #doordashgirl #doordash #feminist #feminism #womanism ,un,110,FALSE,,FALSE,FALSE,12,14,2,2169,3183,1865,469600,7151,11/15/2025 13:13
29,TikTok,OliviaHenderson,7.57384E+18,2027-03-22 19:50:25.800000+00:00,#doordashgirl #oliviahenderson #doordash #olivia #arrested ,un,104,FALSE,,FALSE,FALSE,850,59,23,41400,12000,6799,125600,873,11/17/2025 17:41
30,TikTok,OliviaHenderson,7.57314E+18,2027-03-20 21:34:09.722000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,FALSE,,FALSE,FALSE,125,3,9,19700,10700,21,60000,68,11/15/2025 20:30
31,TikTok,OliviaHenderson,7.58157E+18,2027-04-13 03:44:51.609000+00:00,Doordash girl Oliva Henderson appears in court after being arrested for spreading images of man online. #court #doordash #murder #trial #oswego ,en,114,FALSE,,FALSE,FALSE,4971,155,250,308800,6255,42,137000,315,12/8/2025 13:35
32,TikTok,OliviaHenderson,7.57316E+18,2027-03-20 22:42:55.828000+00:00,DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,FALSE,,FALSE,FALSE,131,4,1,1128,10400,0,19100,99,11/15/2025 21:37
33,TikTok,OliviaHenderson,7.59912E+18,2027-05-31 13:35:09.378000+00:00,Update: Olivia Henderson Door Dash Employee of 2025 #fyp #foryourpage #greenscreen ,en,114,FALSE,,FALSE,FALSE,1549,37,25,13000,441600,1399,12600000,1550,1/24/2026 20:12
34,TikTok,OliviaHenderson,7.58136E+18,2027-04-12 13:32:16.366000+00:00,Update on DoorDash girl aka Olivia Henderson as she made her first court appearance. She was formally charged and entered her plea. She didn’t seem thrilled about the cameras there. #doordashgirl #oliviahenderson #irlmonsterhighdoll #up,en,114,FALSE,,FALSE,FALSE,570,35,28,44500,13100,1,191900,46,12/7/2025 23:43
36,TikTok,OliviaHenderson,7.5741E+18,2027-03-23 12:50:02.383000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update ,en,114,FALSE,,FALSE,FALSE,26,4,0,2097,10100,0,28100,52,11/18/2025 10:16
38,TikTok,OliviaHenderson,7.57387E+18,2027-03-22 21:47:13.564000+00:00,Replying to @ashleean1  PD speaks out regarding Door Dash Girl case!!  #doordash #oliviahenderson #deliverydriver #investigation ,en,114,FALSE,,FALSE,FALSE,131,8,3,6655,76400,6688,3800000,2101,11/17/2025 19:35
39,TikTok,OliviaHenderson,7.57482E+18,2027-03-25 12:28:10.859000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update  ,en,114,FALSE,,FALSE,FALSE,150,3,5,17300,10000,8,91500,153,11/20/2025 8:48
40,TikTok,OliviaHenderson,7.59736E+18,2027-05-26 17:19:52.295000+00:00,Update on DoorDash girl aka Olivia Henderson as she made her first court appearance. She was formally charged and entered her plea.She didn't seem thrilled about the cameras there #doordashgirl #oliviahenderson #irlmonsterhighdoll #update #court,en,114,FALSE,,FALSE,FALSE,588,27,21,45200,10200,0,5107,11,1/20/2026 2:40
41,TikTok,OliviaHenderson,7.57917E+18,2027-04-06 12:30:11.923000+00:00,Humans are so Back! #fyp #Oliviahenderson #trump #usa #update ,en,114,FALSE,,FALSE,FALSE,149,6,7,5637,16400,61,605500,803,12/2/2025 2:05
42,TikTok,OliviaHenderson,7.57319E+18,2027-03-21 00:19:03.779000+00:00,Olivia Henderson #viral #fypシ #doordash #foryoupage #trending ,en,105,FALSE,,FALSE,FALSE,136,9,1,2550,11500,53,2200000,411,11/15/2025 23:11
43,TikTok,OliviaHenderson,7.58137E+18,2027-04-12 13:58:44.656000+00:00,Update on DoorDash girl aka Olivia Henderson as she made her first court appearance. She was formally charged and entered her plea. She didn’t seem thrilled about the cameras there. #doordashgirl#oliviahenderson#irlmonsterhighdoll#updat,en,114,FALSE,,FALSE,FALSE,3595,178,192,280000,26900,3,365100,174,12/8/2025 0:09
44,TikTok,OliviaHenderson,7.57337E+18,2027-03-21 12:10:49.736000+00:00,DoorDash girl has been arrested #fypシ #foryoupage #irlmonsterhighdoll #doordash #breakingnews ,en,114,FALSE,,FALSE,FALSE,1218,160,24,33800,341300,436,26200000,1818,11/16/2025 10:46
45,TikTok,OliviaHenderson,7.58325E+18,2027-04-17 18:42:19.998000+00:00,"DoorDash Girl asked judge for ""no cameras” in courtroom after pleading not guilty #doordashgirl #oliviahenderson #viral #fyp #greenscreen",en,114,FALSE,,FALSE,FALSE,36100,377,1417,497200,88,0,37300,15,12/13/2025 1:57
46,TikTok,OliviaHenderson,7.57623E+18,2027-03-29 09:54:28.556000+00:00,Doordash Girl Olivia Henderson Goes To Jail As She Awaits Charges For Unlawful Surveillance #news #fouryou #trending #breaking #react ,en,114,FALSE,,FALSE,FALSE,86,6,14,34800,2500,0,26200,302,11/24/2025 4:03
47,TikTok,OliviaHenderson,7.46584E+18,2026-05-28 19:14:44.021000+00:00,,un,110,FALSE,,FALSE,FALSE,54,4,1,542,6515,5230,76500,1143,1/30/2025 16:43
49,TikTok,OliviaHenderson,7.12645E+18,2023-11-04 05:49:15.149000+00:00,oh yeah @oliviaahenderson,en,110,FALSE,,FALSE,FALSE,577,25,3,14000,864,1206,14700,25,7/31/2022 3:07
51,TikTok,OliviaHenderson,7.58049E+18,2027-04-10 03:45:25.124000+00:00,"As Dashers, we see things most people never will. We walk into darkness, weather, traffic, and the unknown every single day just to make sure strangers get their food. And lately… with everything happening in the Olivia Henderson situation, people are finally seeing how complicated and dangerous this job can really be. #doordashgirl #oliviahenderson #doordash #falseallegations ",en,114,FALSE,,FALSE,FALSE,53,10,2,16600,29,9,1065,45,12/5/2025 15:17
52,TikTok,OliviaHenderson,7.57315E+18,2027-03-20 22:10:16.612000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 11/15  and DoorDash Girl has officially been charged and arrested for her crimes #fyp #news #breakingnews #truecrime #doordash  #ForYouPage #doordashdriver #Attorneylife #truecrimetok #tiktoktea  #fired#doordashgirl #arrested #update #irlmonsterhighdoll #Olivia #oliviahenderson #fyp #usa #fypシ #influencer #tiktoker #news #breakingnews #Foryou ,en,114,FALSE,,FALSE,FALSE,968,61,104,164800,13800,55,197500,189,11/15/2025 21:05
53,TikTok,OliviaHenderson,7.57358E+18,2027-03-22 02:28:35.398000+00:00,DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,FALSE,,FALSE,FALSE,128,5,3,2445,10100,12,1123,11,11/17/2025 0:43
54,TikTok,OliviaHenderson,7.57357E+18,2027-03-22 01:52:55.301000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fyp #foryoupage,en,114,FALSE,,FALSE,FALSE,4898,260,922,514700,9272,0,5652,14,11/17/2025 0:09
55,TikTok,OliviaHenderson,7.57339E+18,2027-03-21 13:40:46.057000+00:00,#greenscreen #doordashgirl #oliviahenderson #doordash #justice ,un,114,FALSE,,FALSE,FALSE,169,17,4,3630,24300,7611,497600,1481,11/16/2025 12:14
56,TikTok,OliviaHenderson,7.57389E+18,2027-03-22 22:56:46.398000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update,en,114,FALSE,,FALSE,FALSE,172,7,10,49300,14000,26,196200,108,11/17/2025 20:43
57,TikTok,OliviaHenderson,7.59394E+18,2027-05-17 06:52:59.348000+00:00,😛😛,un,110,FALSE,,FALSE,FALSE,34,8,0,266,82,167,935,18,1/10/2026 21:32
58,TikTok,OliviaHenderson,7.56573E+18,2027-02-28 10:45:01.409000+00:00,#doordashgirl: #OliviaHenderson update 👀!!  #DoorDash #Irlmonsterhighdoll #doordashdriver ,en,114,FALSE,,FALSE,FALSE,487,351,16,43500,20400,421,895400,360,10/26/2025 22:11
59,TikTok,OliviaHenderson,7.5737E+18,2027-03-22 10:23:28.065000+00:00,Olivia Henderson Is NOT A Victim #savictim  #doordasher  #SA #storytimes #doordash,en,114,FALSE,,FALSE,FALSE,40,16,1,2941,1649,489,98400,836,11/17/2025 8:27
60,TikTok,OliviaHenderson,7.58178E+18,2027-04-13 17:09:03.126000+00:00,,un,114,FALSE,,FALSE,FALSE,60,3,0,1149,9246,0,3510,34,12/9/2025 2:41
61,TikTok,OliviaHenderson,7.58335E+18,2027-04-18 01:16:44.539000+00:00,#irlmonstahighdoll #doordashgirl #olivahenderson #ringdoorbell #proof  Proof Olivia Henderson DoorDash Girl Lied And Opened Door,en,120,FALSE,,FALSE,FALSE,444,26,33,67800,391,1356,5846,126,12/13/2025 8:22
62,TikTok,OliviaHenderson,7.59909E+18,2027-05-31 12:08:07.677000+00:00,,un,110,FALSE,,FALSE,FALSE,274,13,0,2797,773,795,4771,16,1/24/2026 18:47
64,TikTok,OliviaHenderson,7.57379E+18,2027-03-22 16:27:41.374000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update ,en,114,FALSE,,FALSE,FALSE,50300,2521,1466,1000000,325300,0,52000000,2014,11/17/2025 14:23
65,TikTok,OliviaHenderson,7.57362E+18,2027-03-22 04:58:48.457000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! #foryou #usa🇺🇸 #news #truecrime #doordash ,en,114,FALSE,,FALSE,FALSE,144,23,9,25200,8801,0,62400,18,11/17/2025 3:10
66,TikTok,OliviaHenderson,7.57512E+18,2027-03-26 08:20:43.227000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson ,en,114,FALSE,,FALSE,FALSE,105,9,8,17600,12200,8,50800,133,11/21/2025 4:12
67,TikTok,OliviaHenderson,7.56635E+18,2027-03-02 03:27:44.398000+00:00,Door Dash girl original video #doordash #doorbellcamera #doordashgirl #foodelivery,en,105,FALSE,,FALSE,FALSE,6905,1248,365,1400000,11300,0,72300,37,10/28/2025 13:56
69,TikTok,OliviaHenderson,7.57301E+18,2027-03-20 12:29:34.194000+00:00,Major update as DoorDash girl aka Olivia Henderson aka irlmonsterhighgirl has been arrested. #doordash #doordashgirl #arrested #update #irlmonsterhighdoll,en,114,FALSE,,FALSE,FALSE,26700,950,1139,970200,52800,437,3400000,378,11/15/2025 11:38
70,TikTok,OliviaHenderson,7.57313E+18,2027-03-20 20:25:23.883000+00:00,DoorDash girl Olivia Henderson has been arrested and is facing two felony charges#doordash #doordashgirl #breakingnews #viral #fyp,en,114,FALSE,,FALSE,FALSE,496,41,16,163400,11200,0,181100,100,11/15/2025 19:22
72,TikTok,OliviaHenderson,7.57343E+18,2027-03-21 16:40:38.153000+00:00,crazy#viral #fypシ #doordash #foryoupage #trending ,en,114,FALSE,,FALSE,FALSE,88,9,1,1752,11500,53,2200000,411,11/16/2025 15:09
73,TikTok,OliviaHenderson,7.57475E+18,2027-03-25 08:11:19.416000+00:00,DoorDash Girls Initial Police Report #truecrimetok #tiktokea #doordash #doordashdriver #arrested,en,114,FALSE,,FALSE,FALSE,410,26,47,78900,33400,8,1600000,7,11/20/2025 4:37
74,TikTok,OliviaHenderson,7.57419E+18,2027-03-23 18:35:33.416000+00:00,"Replying to @happyhippie310 #doordash #dasher #oliviahenderson  #fyp #doordashgirl  If you’re going to come at me make sure you know who you’re talking to first. 😮‍💨 she screamed SA, when there was no threat to her, my question remains IF the roles were reversed would you still be defending the door dasher? 🤦‍♀️ BYE. ",en,114,FALSE,,FALSE,FALSE,161,18,1,3770,9708,7798,118800,894,11/18/2025 15:54
75,TikTok,OliviaHenderson,7.57315E+18,2027-03-20 22:02:02.923000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 1115 #fyp #news #breakingnews #truecrime #doordash,en,114,FALSE,,FALSE,FALSE,2424,174,580,340800,9994,0,21800,36,11/15/2025 20:57
77,TikTok,OliviaHenderson,7.57554E+18,2027-03-27 11:53:57.836000+00:00,Replying to @Glenn Dale McGee #doordashgirl #oliviahenderson #legaltok #fyp  ,un,105,FALSE,,FALSE,FALSE,855,130,17,50800,2586,559,137100,1342,11/22/2025 7:07
78,TikTok,OliviaHenderson,7.57314E+18,2027-03-20 21:20:41.335000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 11/15 #fyp #news #breakingnews #truecrime #doordash ,en,114,FALSE,,FALSE,FALSE,77,2,2,10900,14500,23,292700,152,11/15/2025 20:16
79,TikTok,OliviaHenderson,7.58229E+18,2027-04-15 02:54:51.937000+00:00,Court is in session #doordash #doordashgirl #oliviahenderson ,en,114,FALSE,,FALSE,FALSE,2109,248,37,39000,80600,5,2600000,257,12/10/2025 11:39
80,TikTok,OliviaHenderson,7.57383E+18,2027-03-22 19:11:06.176000+00:00,Major update on DoorDash girl Olivia. The Oswego police department issued a statement with details. #doordash #doordashgirl #irlmonsterhighdoll #oswego #update ,en,114,FALSE,,FALSE,FALSE,45400,1595,2362,757700,52800,437,3400000,378,11/17/2025 17:02
81,TikTok,OliviaHenderson,7.59453E+18,2027-05-18 21:45:31.176000+00:00,"Olivia Henderson, AKA DoorDash Girl, Allegedly Arrested on 11/15 — What Really Happened? #truecrime #DoorDash #breakingnews #allegedly #storytime #fyp #foryou #bnc_news #tiktok #news #pov #fypシ #viral #story",en,114,FALSE,,FALSE,FALSE,7,0,0,867,10200,65,2800,71,1/12/2026 11:29
83,TikTok,OliviaHenderson,7.57355E+18,2027-03-22 00:19:11.180000+00:00,OLivia Henderson AKA DoorDash Girl has been ARRESTED! #foryou #fyp #usa🇺🇸 #truecrime #doordash ,en,114,FALSE,,FALSE,FALSE,28,1,0,5382,10700,0,463800,90,11/16/2025 22:37
84,TikTok,OliviaHenderson,7.59753E+18,2027-05-27 04:21:38.016000+00:00,Tiktok DoorDash Girl Trial Update straight out of court: Things got worse for Olivia Henderson known online as the DoorDash Girl. For allegedly opening the door to her customer and filmed him nude within his home and posted it on TikTok. It seems like the prosecutors have divested the case to county court which is a higher level court. This move makes it look like it’s less likely for her to get a slap on the wrist. She’s currently facing 2 felonies: unlawful surveillance and dissemination of an unlawful surveillance. Which has a max penalty of 8 years in prison combined and minimum sentence of a couple years on probation.,en,114,FALSE,,FALSE,FALSE,958,32,23,21100,28900,154,1400000,385,1/20/2026 13:26
85,TikTok,OliviaHenderson,7.56663E+18,2027-03-02 22:22:56.336000+00:00,#stitch with @skiii.2025 #realisrare💯 #doordashgirl #imfamous #fypシ ,un,105,FALSE,,FALSE,FALSE,12,0,4,7283,3989,4750,10800,672,10/29/2025 8:25
86,TikTok,OliviaHenderson,7.57622E+18,2027-03-29 09:20:10.958000+00:00,Doordash Girl Olivia Henderson Goes To Jail As She Awaits Charges For Unlawful Surveillance #news #fouryou #trending #breaking #react ,en,114,FALSE,,FALSE,FALSE,71,6,2,12800,2500,0,26200,302,11/24/2025 3:29
87,TikTok,OliviaHenderson,7.57452E+18,2027-03-24 16:40:57.786000+00:00,Final thoughts on that! #fyp #doordashgirl ,en,105,FALSE,,FALSE,FALSE,163,24,4,4646,14800,4195,2000000,1283,11/19/2025 13:28
88,TikTok,OliviaHenderson,7.59833E+18,2027-05-29 09:14:05.299000+00:00,Door dash girl update / Olivia Henderson ,en,114,FALSE,,FALSE,FALSE,591,33,6,11700,57100,42,14400000,1803,1/22/2026 17:04
89,TikTok,OliviaHenderson,7.576E+18,2027-03-28 18:32:04.557000+00:00,"Replying to @LaVar Jay to be clear, she’s already released lol she isnt in jail. But you guys!! Olivia Henderson can easily argue against her charges!! Praying she doesn’t plead guilty in Jesus’s holy name!! #greenscreen #doordash #feminist #leftisttiktok #survivors",en,114,FALSE,,FALSE,FALSE,70,28,0,4288,736,1506,17200,338,11/23/2025 13:02
90,TikTok,OliviaHenderson,7.58504E+18,2027-04-22 17:33:11.720000+00:00,DoorDash girl Olivia Henderson was seen in court and she plead not guilty #fypシ #viraltiktok #foryou #irlmonsterhighdoll #viralvideo,en,114,FALSE,,FALSE,FALSE,64,2,4,5859,27500,55,350700,309,12/17/2025 22:01
91,TikTok,OliviaHenderson,7.59746E+18,2027-05-27 00:04:18.981000+00:00,"Disclaimer: I misspoke in my excitement. What I meant is that her case has moved into Superior Court, which is where it proceeds through motions and hearings and, if it doesn’t resolve by plea, it can go to a jury trial. A grand jury is only used to decide whether there’s enough probable cause for an indictment, it is not the trial. #themanicuredmom #doordashgirl #oliviahenderson #falseallegations #falseallegationsruinlives",en,114,FALSE,,FALSE,FALSE,2659,100,53,67000,260000,3374,4800000,2230,1/20/2026 9:15
92,TikTok,OliviaHenderson,7.57505E+18,2027-03-26 03:39:14.106000+00:00,Mb for the chapped lips but she crazy asl thinking it wouldn’t be any reprucussions #fyp #xyzbca #oliviahenderson #doordash ,en,105,FALSE,,FALSE,FALSE,67,7,0,1058,672,277,78400,135,11/20/2025 23:37
93,TikTok,OliviaHenderson,7.57413E+18,2027-03-23 14:56:14.390000+00:00,#doordashgirl #doordashdriver #OliviaHenderson @B 🏳‍🌈🏳️‍⚧️  so this is absolutely hilarious. This kid is so out of touch with reality. He thinks I’m mad. I’m getting a kick out of this.,en,120,FALSE,,FALSE,FALSE,4,1,0,169,4466,1080,7828,213,11/18/2025 12:20
95,TikTok,OliviaHenderson,7.57329E+18,2027-03-21 07:05:51.582000+00:00,"olivia henderson, the doordash delivery woman, has been taken into custody for 2 counts of felony charges. the way that people are talking about this situation genuinely breaks my heart. with the current president of the u.s. having been charged with SAing a woman, i’m saddened to say i’m not surprised. if you’re a victim of SA, i believe you. if you’re a victim of SA, no matter how you respond, it is not your fault.  the video clip in the video is from @Beatriz  #doordash #olivia #delivery ",en,114,FALSE,,FALSE,FALSE,1053,249,38,40600,24500,1064,1000000,423,11/16/2025 5:48
96,TikTok,OliviaHenderson,7.57351E+18,2027-03-21 21:51:00.576000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! #fyp #news #breakingnews #truecrime #doordash,en,114,FALSE,,FALSE,FALSE,64,9,0,1022,10400,0,9773,12,11/16/2025 20:12
97,TikTok,OliviaHenderson,7.57303E+18,2027-03-20 13:45:52.481000+00:00,Replying to @.envxsi #oliviahendersonisaqueen #oliviahendersonarmy #doordashgirl #doordash #fyp ,un,110,FALSE,,FALSE,FALSE,111,223,9,25500,3183,1865,469600,7151,11/15/2025 12:52
98,TikTok,OliviaHenderson,7.57352E+18,2027-03-21 22:05:20.857000+00:00,DoorDash girl has been arrested and charged for recording the man in his home when she was supposed to be dropping off food #foryou #doordash #olivia ,en,114,FALSE,,FALSE,FALSE,23,0,6,1763,49400,1,464900,255,11/16/2025 20:26
99,TikTok,OliviaHenderson,7.57361E+18,2027-03-22 04:15:24.019000+00:00,"i support olivia henderson, the doordash delivery woman. the police & the legal system do not protect victims or marginalized communities. poc, the unhoused, & women have been denied justice historically due to systemic prejudice. legality does not dictate morality & i stand with the victim.  #olivia #doordash #delivery ",en,114,FALSE,,FALSE,FALSE,4598,621,124,35900,24500,1064,1000000,423,11/17/2025 2:28
100,TikTok,OliviaHenderson,7.57348E+18,2027-03-21 19:33:01.440000+00:00,"Predators and thoughtless bums dni, this is not a ground for open debate so yes anyone disagreeing with me or spouting bs will be deleted😝",en,114,FALSE,,FALSE,FALSE,45,5,1,1667,2145,51,470500,310,11/16/2025 17:58
101,TikTok,OliviaHenderson,7.58987E+18,2027-05-06 01:20:14.353000+00:00,,un,113,FALSE,,FALSE,FALSE,2,0,0,42,36,57,141,48,12/30/2025 22:18
102,TikTok,OliviaHenderson,7.58259E+18,2027-04-15 22:46:48.593000+00:00,The infamous DoorDash driver who posted a customer naked on social media had her first court date #doordashgirl #oliviahenderson #viral #fyp #greenscreen ,en,114,FALSE,,FALSE,FALSE,328,12,15,16200,18100,6,448400,143,12/11/2025 7:03
