,source,video_id,post_date_utc,description,text_language,category_type,is_aigc,aigc_description,collected,is_reviewing,likes,comments,shares,views,author_follower_count,author_following_count,author_total_likes,author_video_count
38,TikTok,6961485859023490309,2015-01-19T18:14:07.233000+00:00,Look at the pretty clouds! But not even the clouds look prettier then me 😘💋 anyways I had a wardrobe change 😝 #oliviahendersonisaqueen,en,120,False,,False,False,37,2,0,273,211,68,1229,28
39,TikTok,7573161234250403103,2015-01-21T09:47:44.004000+00:00,DoorDash girl ARRESTED for TWO felonies!!#doordashgirl #oliviahenderson,en,114,False,,False,False,1183,50,183,244200,9644,0,8878,25
40,TikTok,7573150351273020686,2015-01-21T09:47:41.470000+00:00,"Y'all remember that#DoorDashgirlstory from a month ago? Well girl girl has been arrested for recording the customer inside of his home and posting it online. What originally happened is that the Dasher,Olivia Henderson, went to deliver food and saw the customer passed out with no pants on and the door wide open. She assumed that he intentionally flashed her and recorded as proof and then posted it online exposing his first name and the house number. It is important to note that there is no conclusive proof that Olivia physically went inside of his house, she just recorded from the outside. She went viral for saying that she was SA'd even though people are debating whether being indecently exposed to counts as SA #truecrime #doordash #lawandorder",en,114,False,,False,False,80,3,0,1388,8902,0,882,5
41,TikTok,7573639890433363231,2015-01-21T09:49:35.450000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fypシ #foryoupage,en,114,False,,False,False,35,6,2,20200,9927,3,32100,65
42,TikTok,7405674065807052064,2015-01-20T22:57:47.859000+00:00,"SIGH. Another day, another racist video resurfaced — more at the 🔗 in bio. 🎥 @via  #oliviastabile #influencer #news ",en,114,False,,False,False,3562,403,293,828700,64300,300,19700000,1994
43,TikTok,7580972527829208350,2015-01-21T10:18:02.713000+00:00,Door Dash Girl Olivia Henderson has been charged ,en,114,False,,False,False,2038,29,8,13600,129800,496,3800000,865
44,TikTok,7465843017472036126,2015-01-21T02:51:17.035000+00:00,,un,110,False,,False,False,54,4,1,542,6515,5230,76500,1143
45,TikTok,7573161249744096543,2015-01-21T09:47:44.008000+00:00,Update: Olivia Henderson aka  DoorDash girl has been  arrested#foryou #breakingnews #news #doordash #doordashgirl ,en,114,False,,False,False,376,28,32,68300,173600,0,4100000,437
46,TikTok,7566348525336808734,2015-01-21T09:21:17.797000+00:00,Door Dash girl original video #doordash #doorbellcamera #doordashgirl #foodelivery,en,105,False,,False,False,6898,1248,365,1400000,11300,0,72300,37
47,TikTok,7577695325314403639,2015-01-21T10:05:19.680000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,False,,False,False,42,2,0,6731,10,0,249,26
48,TikTok,6815307735161244933,2015-01-19T08:46:52.486000+00:00,#greenscreen #greenscreenvideo ik the last two were videos #foryou#OpenForDelivery #selfappreciation,en,120,False,,False,False,21,0,0,193,49,158,309,7
49,TikTok,7099141425887022378,2015-01-20T03:08:17.667000+00:00,Reply to @lovedthestars,en,120,False,,False,False,184,9,1,4514,6515,5230,76500,1143
50,TikTok,7601285363570674957,2015-01-21T11:36:52.163000+00:00,,un,112,False,,False,False,234,6,2,2466,217900,67,7900000,3471
51,TikTok,7601588642980580621,2015-01-21T11:38:02.776000+00:00,,un,114,False,,False,False,1094,46,15,6309,217900,67,7900000,3471
52,TikTok,7560445000685784350,2015-01-21T08:58:23.275000+00:00,,un,109,False,,False,False,44,5,0,665,6515,5230,76500,1143
53,TikTok,7597431567492975885,2015-01-21T11:21:54.881000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fypシ #update #tiktok #story #storytime #pov #viral #oliviahenderson #fyp #doordash #bnc_news #foryou #news,en,114,False,,False,False,38,6,2,2524,11000,0,32100,182
54,TikTok,7099529172707446062,2015-01-20T03:09:47.946000+00:00,,un,120,False,,False,False,120,14,0,2643,6515,5230,76500,1143
55,TikTok,7247632344742677806,2015-01-20T12:44:30.903000+00:00,Replying to @Maria B Ramos 2705 ,un,102,False,,False,False,87,3,1,599,6515,5230,76500,1143
56,TikTok,7130373523842895146,2015-01-20T05:09:29.457000+00:00,#greenscreen Time flies 🥲,en,120,False,,False,False,79,1,0,1306,294,2828,1304,12
57,TikTok,7573288786411408671,2015-01-21T09:48:13.702000+00:00,"olivia henderson, the doordash delivery woman, has been taken into custody for 2 counts of felony charges. the way that people are talking about this situation genuinely breaks my heart. with the current president of the u.s. having been charged with SAing a woman, i’m saddened to say i’m not surprised. if you’re a victim of SA, i believe you. if you’re a victim of SA, no matter how you respond, it is not your fault.  the video clip in the video is from @Beatriz  #doordash #olivia #delivery ",en,114,False,,False,False,1053,249,38,40600,24500,1064,1000000,423
58,TikTok,7573619200573345054,2015-01-21T09:49:30.633000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! #foryou #usa🇺🇸 #news #truecrime #doordash ,en,114,False,,False,False,144,23,9,25100,8802,0,62400,18
59,TikTok,7573776292429024543,2015-01-21T09:50:07.209000+00:00,@aurajunkie #doordashgirl #doordashdriver #OliviaHenderson #law ,un,114,False,,False,False,30,17,6,4135,4466,1080,7827,213
60,TikTok,7574181252845079838,2015-01-21T09:51:41.496000+00:00,"if you have the ring camera footage of her opening the door or the original video of her saying she opened the door, please link me to it. if not, you are spreading misinformation & hearsay in the name of misogyny. the only video i have seen is a video where olivia henderson was unsuspectedly exposed to a man’s genitalia without her consent while on the job. until other evidence surfaces, i stand with her.  #doordash #olivia #ringcamera ",en,114,False,,False,False,173,94,7,13200,24500,1064,1000000,423
61,TikTok,6908732882416667906,2015-01-19T14:49:24.723000+00:00,asmr?? #asmr#presacanario,en,120,False,,False,False,1,0,0,39,27,222,55,13
62,TikTok,7580486101102562615,2015-01-21T10:16:09.458000+00:00,"As Dashers, we see things most people never will. We walk into darkness, weather, traffic, and the unknown every single day just to make sure strangers get their food. And lately… with everything happening in the Olivia Henderson situation, people are finally seeing how complicated and dangerous this job can really be. #doordashgirl #oliviahenderson #doordash #falseallegations ",en,114,False,,False,False,53,10,2,16600,29,9,1065,45
63,TikTok,7573047291670482207,2015-01-21T09:47:17.475000+00:00,Olivia “Livie Rose” Henderson has officially been charged for the Oct. 12 incident where she recorded and exposed a man who was found underdressed in his home as she was making a DoorDash delivery #fyp #doordash #fyppppppppppppppppppppppp ,en,114,False,,False,False,1921,170,60,91200,1603,20,91900,169
64,TikTok,7575048726956363039,2015-01-21T09:55:03.470000+00:00,Mb for the chapped lips but she crazy asl thinking it wouldn’t be any reprucussions #fyp #xyzbca #oliviahenderson #doordash ,en,105,False,,False,False,67,7,0,1058,673,277,78400,135
65,TikTok,7581322510487080247,2015-01-21T10:19:24.199000+00:00,but don’t worry as long as it happens multiple times first they might actually do something! #oliviahenderson #fypage #doordashdriver #sa #storytime #women #doordashgirl #police #crimetok ,en,114,False,,False,False,73,107,1,3967,703,6,264200,65
66,TikTok,7573515149957532958,2015-01-21T09:49:06.407000+00:00,DoorDash girl has been arrested and charged for recording the man in his home when she was supposed to be dropping off food #foryou #doordash #olivia ,en,114,False,,False,False,23,0,6,1763,49400,1,464900,255
67,TikTok,7573920540692352286,2015-01-21T09:50:40.794000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update,en,114,False,,False,False,68,4,4,6785,14600,15,598700,79
68,TikTok,7573154002578181390,2015-01-21T09:47:42.320000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 11/15  and DoorDash Girl has officially been charged and arrested for her crimes #fyp #news #breakingnews #truecrime #doordash  #ForYouPage #doordashdriver #Attorneylife #truecrimetok #tiktoktea  #fired#doordashgirl #arrested #update #irlmonsterhighdoll #Olivia #oliviahenderson #fyp #usa #fypシ #influencer #tiktoker #news #breakingnews #Foryou ,en,114,False,,False,False,968,61,104,164800,13800,55,197500,189
69,TikTok,7598770514743594254,2015-01-21T11:27:06.629000+00:00,Autopsy notes for the ldaho Four Victims. Maddie Mogen & Kaylee Goncalves. #breakingnews #rileyluenews #truecrime #truecrimetok #Idahofour,en,114,False,,False,False,2846,44,112,127900,10500,0,23300,21
70,TikTok,7573263347668323639,2015-01-21T09:48:07.779000+00:00,Olivia Henderson KAK DoorDash Girl has been ARRESTED! 11/15 #fyp #news #breakingnews #truecrime #doordash ,en,114,False,,False,False,122,3,5,19200,12000,1,133900,233
71,TikTok,7573127608959913247,2015-01-21T09:47:36.175000+00:00,DoorDash girl Olivia Henderson has been arrested and is facing two felony charges#doordash #doordashgirl #breakingnews #viral #fyp,en,114,False,,False,False,496,41,16,163400,11200,0,181000,100
72,TikTok,7575998193444441399,2015-01-21T09:58:44.535000+00:00,"Replying to @LaVar Jay to be clear, she’s already released lol she isnt in jail. But you guys!! Olivia Henderson can easily argue against her charges!! Praying she doesn’t plead guilty in Jesus’s holy name!! #greenscreen #doordash #feminist #leftisttiktok #survivors",en,114,False,,False,False,70,28,0,4288,735,1498,17200,338
73,TikTok,6920313107302665477,2015-01-19T15:34:20.955000+00:00,Give me some tips in the comments,en,100,False,,False,False,319,5,0,3005,59,21,821,4
74,TikTok,7595268188347125022,2015-01-21T11:13:31.181000+00:00,Olivia Henderson conductora de Doordash viral ahora fue arr.,es,120,False,,False,False,10,1,2,126,11900,0,39800,115
75,TikTok,7126445269289323778,2015-01-20T04:54:14.839000+00:00,oh yeah @oliviaahenderson,en,110,False,,False,False,577,25,3,14000,864,1206,14700,25
76,TikTok,7573388168242793758,2015-01-21T09:48:36.841000+00:00,#greenscreen #doordashgirl #oliviahenderson #doordash #justice ,un,114,False,,False,False,169,17,4,3630,24300,7611,497600,1481
77,TikTok,7573027065612602638,2015-01-21T09:47:12.766000+00:00,Replying to @.envxsi #oliviahendersonisaqueen #oliviahendersonarmy #doordashgirl #doordash #fyp ,un,110,False,,False,False,111,223,9,25500,3183,1865,469600,7151
78,TikTok,7104342230617296170,2015-01-20T03:28:28.574000+00:00,#ticheldarling #ticheltok #wrapunzelista #headcovering #thisismymodesty #wrapunzel_ladies #summertichelstyle,un,120,False,,False,False,60,6,0,713,6515,5230,76500,1143
79,TikTok,7589871649986579767,2015-01-21T10:52:34.701000+00:00,,un,113,False,,False,False,2,0,0,41,36,56,138,46
80,TikTok,7573056739889728798,2015-01-21T09:47:19.675000+00:00,DoorDash Girl (Olivia Henderson) Update #blacktiktok ,en,114,False,,False,False,6622,438,130,95600,57100,42,14400000,1803
81,TikTok,7581736026477972749,2015-01-21T10:21:00.479000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fypシ #foryoupage,en,114,False,,False,False,106,8,29,2849,10700,0,11100,50
82,TikTok,7582413679518289183,2015-01-21T10:23:38.257000+00:00,DOORDASH GIRL LOST FOR WORDS AFTER FIRST COURT APPEARANCE 😬 #yaboyant #doordash #girl #arrested #prison ,en,114,False,,False,False,1853,34,57,60000,74300,52,3900000,1343
83,TikTok,7573041033341078798,2015-01-21T09:47:16.018000+00:00,#doordashgirl #survivors #doordash #oliviahenderson ,un,120,False,,False,False,58,12,1,1884,6561,3747,134200,2465
84,TikTok,7601007701769932063,2015-01-21T11:35:47.515000+00:00,Play dumb games when dumb prizes. Over half of the internet owes the man in this case an apology. #truecrimestories #truecrimestorytime #truecrime #truecrimetiktok #crimetok ,en,114,False,,False,False,54,2,3,626,49100,4506,951600,1035
85,TikTok,7575288190936862007,2015-01-21T09:55:59.225000+00:00,"And then they automatically believe Austin’s statement that he didn’t do it on purpose as if a guilty person would admit it, all while discounting the many service workers who have said that what he did is a common strategy for predatory exhibitionists #oliviahenderson #misogyny #criticalthinking #doordashdriver #factchecking ",en,114,False,,False,False,245,30,2,17900,6560,568,5800000,359
86,TikTok,7573186412665670926,2015-01-21T09:47:49.866000+00:00,Olivia Henderson #viral #fypシ #doordash #foryoupage #trending ,en,105,False,,False,False,136,9,1,2550,11500,53,2200000,411
87,TikTok,7574144522616065311,2015-01-21T09:51:32.944000+00:00,My thoughts about Olivia Henderson #OliviaHenderson #Doordash #contentcreator #evilpeople ,en,114,False,,False,False,5,0,0,1601,1210,2903,14300,1530
88,TikTok,7581573124127313182,2015-01-21T10:20:22.550000+00:00,Doordash girl Oliva Henderson appears in court after being arrested for spreading images of man online. #court #doordash #murder #trial #oswego ,en,114,False,,False,False,4970,155,250,308700,6238,42,135000,315
89,TikTok,7576863289641078029,2015-01-21T10:02:05.956000+00:00,#trendingtopic #doordashgirl #irlmonsterhighdoll #guilty #victim ,un,101,False,,False,False,34,2,2,4232,4171,0,721000,172
90,TikTok,7564793634957053215,2015-01-21T09:15:15.771000+00:00,,un,105,False,,False,False,51,6,1,896,6515,5230,76500,1143
91,TikTok,7593941655766469901,2015-01-21T11:08:22.323000+00:00,😛😛,un,110,False,,False,False,34,8,0,265,82,167,935,18
92,TikTok,7582608456713129246,2015-01-21T10:24:23.607000+00:00,Olivia Henderson made a HUGE mistake that was completely avoidable. The lesson here? STOP POSTING EVERYTHING ONLINE! ,en,114,False,,False,False,3127,111,40,18300,248500,229,13800000,3448
93,TikTok,7583347788382031117,2015-01-21T10:27:15.746000+00:00,#irlmonstahighdoll #doordashgirl #olivahenderson #ringdoorbell #proof  Proof Olivia Henderson DoorDash Girl Lied And Opened Door,en,120,False,,False,False,444,27,33,67700,391,1356,5846,126
94,TikTok,7575117750515830071,2015-01-21T09:55:19.541000+00:00,Y’all remember that #DoorDashgirl story from a month ago Well girl girl has been arrested for recording the customer inside of his home and posting it online.#truecrime #doordash #lawandorder,en,114,False,,False,False,47,4,0,4089,783,0,34600,39
95,TikTok,7581733123671543071,2015-01-21T10:20:59.803000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fyp #foryoupage,en,114,False,,False,False,614,44,56,78200,12400,3,86800,75
96,TikTok,7576957509102030135,2015-01-21T10:02:27.893000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!!#doordashgirl #oliviahenderson,en,114,False,,False,False,347,26,20,61600,10300,0,16900,127
97,TikTok,7584179521226624287,2015-01-21T10:30:29.399000+00:00,Joe Rogan Reacts to a DoorDash Delivery That Crossed the Line… #shorts#viralvideo #joeroganreacts #joerogan #fouryoupage ,en,101,False,,False,False,63,3,2,3544,7847,3,473700,270
98,TikTok,7589882925668158734,2015-01-21T10:52:37.326000+00:00,,un,113,False,,False,False,2,0,0,51,36,56,138,46
99,TikTok,7362314514093690143,2015-01-20T20:09:32.427000+00:00,I swear she loves me #fyp ,en,104,False,,False,False,54,1,1,1378,431,169,11100,79
100,TikTok,7574792766123789599,2015-01-21T09:54:03.875000+00:00,,un,120,False,,False,False,95,3,5,7468,10200,25,45200,113
101,TikTok,7573257956578315533,2015-01-21T09:48:06.524000+00:00,DoorDash GIRL ARRESTED AND CHARGED. #FYP #doordash #legaldrama #ovliviahenderson #lies   ,en,114,False,,False,False,365,48,45,63200,10700,0,18400,32
102,TikTok,7465441123121499423,2015-01-21T02:49:43.461000+00:00,,un,110,False,,False,False,28,6,0,259,6515,5230,76500,1143
103,TikTok,7599116294566235447,2015-01-21T11:28:27.138000+00:00,Update: Olivia Henderson Door Dash Employee of 2025 #fyp #foryourpage #greenscreen ,en,114,False,,False,False,1546,37,25,12900,441600,1399,12600000,1550
104,TikTok,7575066502643174686,2015-01-21T09:55:07.609000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fyp #foryoupage,en,114,False,,False,False,857,57,54,37700,12400,3,86800,75
105,TikTok,7597462688549063949,2015-01-21T11:22:02.127000+00:00,"Disclaimer: I misspoke in my excitement. What I meant is that her case has moved into Superior Court, which is where it proceeds through motions and hearings and, if it doesn’t resolve by plea, it can go to a jury trial. A grand jury is only used to decide whether there’s enough probable cause for an indictment, it is not the trial. #themanicuredmom #doordashgirl #oliviahenderson #falseallegations #falseallegationsruinlives",en,114,False,,False,False,2658,100,53,66900,260000,3374,4800000,2230
106,TikTok,7581365225257979150,2015-01-21T10:19:34.145000+00:00,Update on DoorDash girl aka Olivia Henderson as she made her first court appearance. She was formally charged and entered her plea. She didn’t seem thrilled about the cameras there. #doordashgirl#oliviahenderson#irlmonsterhighdoll#updat,en,114,False,,False,False,3595,178,192,280000,26900,3,365100,174
107,TikTok,7576230323000741150,2015-01-21T09:59:38.582000+00:00,Doordash Girl Olivia Henderson Goes To Jail As She Awaits Charges For Unlawful Surveillance #news #fouryou #trending #breaking #react ,en,114,False,,False,False,86,6,14,34800,2501,0,26100,302
108,TikTok,7572973907888704782,2015-01-21T09:47:00.389000+00:00,"#greenscreen what are your thoughts? All parties are considered innocent until proven guilty. I’m sharing an update on the situation with the information that is available to the public. Most of my information I got from @Stephanie, Esq. #doordash #doordashgirl ",en,114,False,,False,False,3014,196,186,80200,325700,823,42400000,4286
109,TikTok,7601162552881564983,2015-01-21T11:36:23.569000+00:00,,un,112,False,,False,False,960,68,16,7384,217900,67,7900000,3471
110,TikTok,7600634047353621774,2015-01-21T11:34:20.517000+00:00,,un,112,False,,False,False,8355,448,1169,187700,217900,67,7900000,3471
111,TikTok,7581379114276326669,2015-01-21T10:19:37.378000+00:00,I'm probably not gonna make anymore videos about this . argue with ya mama  ... #fyp #doordashgirl #oliviahenderson #sa #court,en,114,False,,False,False,89,51,0,5952,1329,481,32100,289
112,TikTok,7578211687602425102,2015-01-21T10:07:19.904000+00:00,#VictimBlaming #DoorDashGirl #OliviaHenderson #MakeAmericaMoralAgain #RageBait ,un,114,False,,False,False,75,11,0,1357,12700,3766,162900,693
113,TikTok,6882433152917294342,2015-01-19T13:07:21.340000+00:00,,un,120,False,,False,False,5,2,0,144,70,66,48,8
114,TikTok,7581702595585068319,2015-01-21T10:20:52.695000+00:00,DoorDash girl Olivia Henderson was seen in court and she plead not guilty #fyp #viraltiktok #foryou #irimonsterhighdoll #viralvideo,en,114,False,,False,False,25,6,1,13400,2,0,117,9
115,TikTok,7576593084419525902,2015-01-21T10:01:03.044000+00:00,"Hey there @irlmonsterhighdoll, how’s it going? #DoorDash #DoorDashGirl #ImTheVictim #Felony #ByeFelicia #SYBAU #Prison #FalseReport #IToldYouSo #Olivia #OliviaHenderson #fyp",en,110,False,,False,False,71,3,12,15400,2614,7628,118000,513
116,TikTok,7573451606495120653,2015-01-21T09:48:51.612000+00:00,Think before you post ! #storytelling #storytimes #oliviahenderson #doordash #greenscreensticker ,en,114,False,,False,False,13400,431,175,153700,11900,25,409800,46
