source,tag,video_id,post_date_utc,description,text_language,category_type,is_aigc,aigc_description,collected,is_reviewing,likes,comments,shares,views,author_follower_count,author_following_count,author_total_likes,author_video_count
TikTok,OliviaHenderson,7573056739889728798,2015-01-21T09:47:19.675000+00:00,DoorDash Girl (Olivia Henderson) Update #blacktiktok ,en,114,False,,False,False,6622,438,130,95600,57100,42,14400000,1803
TikTok,OliviaHenderson,7581736026477972749,2015-01-21T10:21:00.479000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fypシ #foryoupage,en,114,False,,False,False,106,8,29,2849,10700,0,11300,50
TikTok,OliviaHenderson,7573920440243031351,2015-01-21T09:50:40.771000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update,en,114,False,,False,False,1387,76,84,143300,12500,0,42600,42
TikTok,OliviaHenderson,7534830336845335839,2015-01-21T07:18:59.397000+00:00,,un,109,False,,False,False,50,4,1,416,6515,5230,76500,1143
TikTok,OliviaHenderson,7574007746190642462,2015-01-21T09:51:01.098000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY!#fyp #news #oliviahenderson #doordash #update,en,114,False,,False,False,151,1,6,3837,9896,0,6603,54
TikTok,OliviaHenderson,7573717796299820318,2015-01-21T09:49:53.589000+00:00,Doordash girl was arrested Aka Livie Henderson. This is the last video I'm making on this subject. Trolls will be blocked.,en,114,False,,False,False,130,0,2,3388,30100,1656,2000000,2217
TikTok,OliviaHenderson,7596652548082257165,2015-01-21T11:18:53.502000+00:00,The Secret Lives Of Mormon Wives coming to @hulu 9/6 @secretlivesonhulu 👀😜 #thesecretlivesofmormonwives ,en,109,False,,False,False,55,0,0,920,58,0,7300,49
TikTok,OliviaHenderson,7576957509102030135,2015-01-21T10:02:27.893000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!!#doordashgirl #oliviahenderson,en,114,False,,False,False,347,26,20,61600,10300,0,17600,127
TikTok,OliviaHenderson,7577695325314403639,2015-01-21T10:05:19.680000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,False,,False,False,42,2,0,6731,10,0,249,26
TikTok,OliviaHenderson,7573451606495120653,2015-01-21T09:48:51.612000+00:00,Think before you post ! #storytelling #storytimes #oliviahenderson #doordash #greenscreensticker ,en,114,False,,False,False,13400,431,175,153700,11900,25,409800,46
TikTok,OliviaHenderson,7573549315822521613,2015-01-21T09:49:14.361000+00:00,Replying to @ghettoasskorean #themanicuredmom #doordashgirl #oliviahendersen #falseallegationsruinlives #idontbelieveallwomen ,un,114,False,,False,False,3697,382,74,290800,260000,3374,4800000,2230
TikTok,OliviaHenderson,6961485859023490309,2015-01-19T18:14:07.233000+00:00,Look at the pretty clouds! But not even the clouds look prettier then me 😘💋 anyways I had a wardrobe change 😝 #oliviahendersonisaqueen,en,120,False,,False,False,37,2,0,273,211,68,1229,28
TikTok,OliviaHenderson,7572991365676567838,2015-01-21T09:47:04.454000+00:00,"Replying to @Chris Cadence  @Stephanie, Esq. #irlmonsterhighdoll #oliviahenderson ",un,114,False,,False,False,179,23,5,8625,21900,800,2200000,2220
TikTok,OliviaHenderson,7578480375228321055,2015-01-21T10:08:22.463000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson ,en,114,False,,False,False,127,10,1,2957,13100,28,160200,766
TikTok,OliviaHenderson,7573263347668323639,2015-01-21T09:48:07.779000+00:00,Olivia Henderson KAK DoorDash Girl has been ARRESTED! 11/15 #fyp #news #breakingnews #truecrime #doordash ,en,114,False,,False,False,122,3,5,19200,12000,1,133900,233
TikTok,OliviaHenderson,7597651587552562446,2015-01-21T11:22:46.109000+00:00,Door Dash girl update 1/20/26  #doordashgirl #oliviahenderson #doordash #doordashdriver #truecrime ,en,114,False,,False,False,146,6,0,5089,76400,6688,3800000,2101
TikTok,OliviaHenderson,7575117750515830071,2015-01-21T09:55:19.541000+00:00,Y’all remember that #DoorDashgirl story from a month ago Well girl girl has been arrested for recording the customer inside of his home and posting it online.#truecrime #doordash #lawandorder,en,114,False,,False,False,47,4,0,4089,782,0,34600,39
TikTok,OliviaHenderson,7573032303660748087,2015-01-21T09:47:13.985000+00:00,Replying to @Briansgurl2018 #doordashgirl #doordash #feminist #feminism #womanism ,un,110,False,,False,False,12,14,2,2169,3183,1865,469600,7151
TikTok,OliviaHenderson,7573843584693144862,2015-01-21T09:50:22.876000+00:00,#doordashgirl #oliviahenderson #doordash #olivia #arrested ,un,104,False,,False,False,850,59,23,41400,12000,6799,125600,873
TikTok,OliviaHenderson,7573144913982934303,2015-01-21T09:47:40.204000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,False,,False,False,125,3,9,19700,10700,21,60000,68
TikTok,OliviaHenderson,7581573124127313182,2015-01-21T10:20:22.550000+00:00,Doordash girl Oliva Henderson appears in court after being arrested for spreading images of man online. #court #doordash #murder #trial #oswego ,en,114,False,,False,False,4971,155,250,308800,6255,42,137000,315
TikTok,OliviaHenderson,7573162220125736206,2015-01-21T09:47:44.234000+00:00,DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,False,,False,False,131,4,1,1128,10400,0,19100,99
TikTok,OliviaHenderson,7599116294566235447,2015-01-21T11:28:27.138000+00:00,Update: Olivia Henderson Door Dash Employee of 2025 #fyp #foryourpage #greenscreen ,en,114,False,,False,False,1549,37,25,13000,441600,1399,12600000,1550
TikTok,OliviaHenderson,7581358563486911757,2015-01-21T10:19:32.594000+00:00,Update on DoorDash girl aka Olivia Henderson as she made her first court appearance. She was formally charged and entered her plea. She didn’t seem thrilled about the cameras there. #doordashgirl #oliviahenderson #irlmonsterhighdoll #up,en,114,False,,False,False,570,35,28,44500,13100,1,191900,46
TikTok,OliviaHenderson,7352721713009839365,2015-01-20T19:32:18.929000+00:00,✌️,un,110,False,,False,False,100,9,0,3247,339,156,53000,11
TikTok,OliviaHenderson,7574100177879895326,2015-01-21T09:51:22.619000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update ,en,114,False,,False,False,26,4,0,2097,10100,0,28100,52
TikTok,OliviaHenderson,7589882925668158734,2015-01-21T10:52:37.326000+00:00,,un,113,False,,False,False,2,0,0,51,36,57,141,48
TikTok,OliviaHenderson,7573872977385622839,2015-01-21T09:50:29.720000+00:00,Replying to @ashleean1  PD speaks out regarding Door Dash Girl case!!  #doordash #oliviahenderson #deliverydriver #investigation ,en,114,False,,False,False,131,8,3,6655,76400,6688,3800000,2101
TikTok,OliviaHenderson,7574819452680801567,2015-01-21T09:54:10.088000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update  ,en,114,False,,False,False,150,3,5,17300,10000,8,91500,153
TikTok,OliviaHenderson,7597360906691038495,2015-01-21T11:21:38.429000+00:00,Update on DoorDash girl aka Olivia Henderson as she made her first court appearance. She was formally charged and entered her plea.She didn't seem thrilled about the cameras there #doordashgirl #oliviahenderson #irlmonsterhighdoll #update #court,en,114,False,,False,False,588,27,21,45200,10200,0,5107,11
TikTok,OliviaHenderson,7579168614847155487,2015-01-21T10:11:02.706000+00:00,Humans are so Back! #fyp #Oliviahenderson #trump #usa #update ,en,114,False,,False,False,149,6,7,5637,16400,61,605500,803
TikTok,OliviaHenderson,7573186412665670926,2015-01-21T09:47:49.866000+00:00,Olivia Henderson #viral #fypシ #doordash #foryoupage #trending ,en,105,False,,False,False,136,9,1,2550,11500,53,2200000,411
TikTok,OliviaHenderson,7581365225257979150,2015-01-21T10:19:34.145000+00:00,Update on DoorDash girl aka Olivia Henderson as she made her first court appearance. She was formally charged and entered her plea. She didn’t seem thrilled about the cameras there. #doordashgirl#oliviahenderson#irlmonsterhighdoll#updat,en,114,False,,False,False,3595,178,192,280000,26900,3,365100,174
TikTok,OliviaHenderson,7573365534431907102,2015-01-21T09:48:31.572000+00:00,DoorDash girl has been arrested #fypシ #foryoupage #irlmonsterhighdoll #doordash #breakingnews ,en,114,False,,False,False,1218,160,24,33800,341300,436,26200000,1818
TikTok,OliviaHenderson,7583248532102991134,2015-01-21T10:26:52.636000+00:00,"DoorDash Girl asked judge for ""no cameras” in courtroom after pleading not guilty #doordashgirl #oliviahenderson #viral #fyp #greenscreen",en,114,False,,False,False,36100,377,1417,497200,88,0,37300,15
TikTok,OliviaHenderson,7576230323000741150,2015-01-21T09:59:38.582000+00:00,Doordash Girl Olivia Henderson Goes To Jail As She Awaits Charges For Unlawful Surveillance #news #fouryou #trending #breaking #react ,en,114,False,,False,False,86,6,14,34800,2500,0,26200,302
TikTok,OliviaHenderson,7465843017472036126,2015-01-21T02:51:17.035000+00:00,,un,110,False,,False,False,54,4,1,542,6515,5230,76500,1143
TikTok,OliviaHenderson,7573577566209002783,2015-01-21T09:49:20.939000+00:00,#fyp #foryou #usa🇺🇸 ,un,114,False,,False,False,20,1,1,966,13800,1,127400,183
TikTok,OliviaHenderson,7126445269289323778,2015-01-20T04:54:14.839000+00:00,oh yeah @oliviaahenderson,en,110,False,,False,False,577,25,3,14000,864,1206,14700,25
TikTok,OliviaHenderson,7241286499805924634,2015-01-20T12:19:53.396000+00:00,I ain't made edit for this fic in time  #ALLFORONEANDONEFORALLWP #OLIVIAHENDERSON  #fanfiction #lucassinclairfanfiction #stfanfic #strangerthings #fanfic #strangerthingsfanfic #fypシ #hopeherondale03wp #foryoupage #maxmayfield #lucasstrangerthings #polyfanfic #lumax #maxmayfieldfanfic #lucassinclairfanfic #lucassinclair #foryou,en,101,False,,False,False,149,9,2,2130,1053,1304,34800,237
TikTok,OliviaHenderson,7580486101102562615,2015-01-21T10:16:09.458000+00:00,"As Dashers, we see things most people never will. We walk into darkness, weather, traffic, and the unknown every single day just to make sure strangers get their food. And lately… with everything happening in the Olivia Henderson situation, people are finally seeing how complicated and dangerous this job can really be. #doordashgirl #oliviahenderson #doordash #falseallegations ",en,114,False,,False,False,53,10,2,16600,29,9,1065,45
TikTok,OliviaHenderson,7573154002578181390,2015-01-21T09:47:42.320000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 11/15  and DoorDash Girl has officially been charged and arrested for her crimes #fyp #news #breakingnews #truecrime #doordash  #ForYouPage #doordashdriver #Attorneylife #truecrimetok #tiktoktea  #fired#doordashgirl #arrested #update #irlmonsterhighdoll #Olivia #oliviahenderson #fyp #usa #fypシ #influencer #tiktoker #news #breakingnews #Foryou ,en,114,False,,False,False,968,61,104,164800,13800,55,197500,189
TikTok,OliviaHenderson,7573581397063945502,2015-01-21T09:49:21.831000+00:00,DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,False,,False,False,128,5,3,2445,10100,12,1123,11
TikTok,OliviaHenderson,7573572420846570807,2015-01-21T09:49:19.741000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fyp #foryoupage,en,114,False,,False,False,4898,260,922,514700,9272,0,5652,14
TikTok,OliviaHenderson,7573388168242793758,2015-01-21T09:48:36.841000+00:00,#greenscreen #doordashgirl #oliviahenderson #doordash #justice ,un,114,False,,False,False,169,17,4,3630,24300,7611,497600,1481
TikTok,OliviaHenderson,7573890479520058679,2015-01-21T09:50:33.795000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update,en,114,False,,False,False,172,7,10,49300,14000,26,196200,108
TikTok,OliviaHenderson,7593941655766469901,2015-01-21T11:08:22.323000+00:00,😛😛,un,110,False,,False,False,34,8,0,266,82,167,935,18
TikTok,OliviaHenderson,7565733795605875981,2015-01-21T09:18:54.669000+00:00,#doordashgirl: #OliviaHenderson update 👀!!  #DoorDash #Irlmonsterhighdoll #doordashdriver ,en,114,False,,False,False,487,351,16,43500,20400,421,895400,360
TikTok,OliviaHenderson,7573700903971147038,2015-01-21T09:49:49.656000+00:00,Olivia Henderson Is NOT A Victim #savictim  #doordasher  #SA #storytimes #doordash,en,114,False,,False,False,40,16,1,2941,1649,489,98400,836
TikTok,OliviaHenderson,7581775505657974047,2015-01-21T10:21:09.671000+00:00,,un,114,False,,False,False,60,3,0,1149,9246,0,3510,34
TikTok,OliviaHenderson,7583347788382031117,2015-01-21T10:27:15.746000+00:00,#irlmonstahighdoll #doordashgirl #olivahenderson #ringdoorbell #proof  Proof Olivia Henderson DoorDash Girl Lied And Opened Door,en,120,False,,False,False,444,26,33,67800,391,1356,5846,126
TikTok,OliviaHenderson,7599094393164795149,2015-01-21T11:28:22.038000+00:00,,un,110,False,,False,False,274,13,0,2797,773,795,4771,16
TikTok,OliviaHenderson,6801524058224741637,2015-01-19T07:53:23.224000+00:00,#greenscreen go follow my new account @x0liviaah,en,120,False,,False,False,23,0,0,6048,153,189,23,1
TikTok,OliviaHenderson,7573792563392531725,2015-01-21T09:50:10.997000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update ,en,114,False,,False,False,50300,2521,1466,1000000,325300,0,52000000,2014
TikTok,OliviaHenderson,7573619200573345054,2015-01-21T09:49:30.633000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! #foryou #usa🇺🇸 #news #truecrime #doordash ,en,114,False,,False,False,144,23,9,25200,8801,0,62400,18
TikTok,OliviaHenderson,7575119565064080654,2015-01-21T09:55:19.964000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson ,en,114,False,,False,False,105,9,8,17600,12200,8,50800,133
TikTok,OliviaHenderson,7566348525336808734,2015-01-21T09:21:17.797000+00:00,Door Dash girl original video #doordash #doorbellcamera #doordashgirl #foodelivery,en,105,False,,False,False,6905,1248,365,1400000,11300,0,72300,37
TikTok,OliviaHenderson,6813863490101529861,2015-01-19T08:41:16.222000+00:00,new account!! follow please. if you are from @henderson_olivia #foryou #indoorworkout,en,120,False,,False,False,29,0,0,2663,49,158,309,7
TikTok,OliviaHenderson,7573007862885109022,2015-01-21T09:47:08.295000+00:00,Major update as DoorDash girl aka Olivia Henderson aka irlmonsterhighgirl has been arrested. #doordash #doordashgirl #arrested #update #irlmonsterhighdoll,en,114,False,,False,False,26700,950,1139,970200,52800,437,3400000,378
TikTok,OliviaHenderson,7573127608959913247,2015-01-21T09:47:36.175000+00:00,DoorDash girl Olivia Henderson has been arrested and is facing two felony charges#doordash #doordashgirl #breakingnews #viral #fyp,en,114,False,,False,False,496,41,16,163400,11200,0,181100,100
TikTok,OliviaHenderson,6961443042054262021,2015-01-19T18:13:57.264000+00:00,"I know, you don’t need to state how pretty I am. 😜💋✨🤞oh also if you wanna be in my cult make your profile the same as mine#oliviahendersonisaqueen",en,120,False,,False,False,30,7,0,259,211,68,1229,28
TikTok,OliviaHenderson,7573433433574083871,2015-01-21T09:48:47.381000+00:00,crazy#viral #fypシ #doordash #foryoupage #trending ,en,114,False,,False,False,88,9,1,1752,11500,53,2200000,411
TikTok,OliviaHenderson,7574754812403715359,2015-01-21T09:53:55.038000+00:00,DoorDash Girls Initial Police Report #truecrimetok #tiktokea #doordash #doordashdriver #arrested,en,114,False,,False,False,410,26,47,78900,33400,8,1600000,7
TikTok,OliviaHenderson,7574187130134547742,2015-01-21T09:51:42.864000+00:00,"Replying to @happyhippie310 #doordash #dasher #oliviahenderson  #fyp #doordashgirl  If you’re going to come at me make sure you know who you’re talking to first. 😮‍💨 she screamed SA, when there was no threat to her, my question remains IF the roles were reversed would you still be defending the door dasher? 🤦‍♀️ BYE. ",en,114,False,,False,False,161,18,1,3770,9708,7798,118800,894
TikTok,OliviaHenderson,7573151931896483102,2015-01-21T09:47:41.838000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 1115 #fyp #news #breakingnews #truecrime #doordash,en,114,False,,False,False,2424,174,580,340800,9994,0,21800,36
TikTok,OliviaHenderson,7323024070356782379,2015-01-20T17:37:04.407000+00:00,its giving me fladhbacks to when i tried to do it in 6th grade..,en,110,False,,False,False,18,3,0,143,54,51,599,28
TikTok,OliviaHenderson,7575535617409305886,2015-01-21T09:56:56.833000+00:00,Replying to @Glenn Dale McGee #doordashgirl #oliviahenderson #legaltok #fyp  ,un,105,False,,False,False,855,130,17,50800,2586,559,137100,1342
TikTok,OliviaHenderson,7573141523362057527,2015-01-21T09:47:39.415000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 11/15 #fyp #news #breakingnews #truecrime #doordash ,en,114,False,,False,False,77,2,2,10900,14500,23,292700,152
TikTok,OliviaHenderson,7582285318322261262,2015-01-21T10:23:08.371000+00:00,Court is in session #doordash #doordashgirl #oliviahenderson ,en,114,False,,False,False,2109,248,37,39000,80600,5,2600000,257
TikTok,OliviaHenderson,7573833687712927006,2015-01-21T09:50:20.572000+00:00,Major update on DoorDash girl Olivia. The Oswego police department issued a statement with details. #doordash #doordashgirl #irlmonsterhighdoll #oswego #update ,en,114,False,,False,False,45400,1595,2362,757700,52800,437,3400000,378
TikTok,OliviaHenderson,7594528656278506807,2015-01-21T11:10:38.995000+00:00,"Olivia Henderson, AKA DoorDash Girl, Allegedly Arrested on 11/15 — What Really Happened? #truecrime #DoorDash #breakingnews #allegedly #storytime #fyp #foryou #bnc_news #tiktok #news #pov #fypシ #viral #story",en,114,False,,False,False,7,0,0,867,10200,65,2800,71
TikTok,OliviaHenderson,7573390228866583830,2015-01-21T09:48:37.321000+00:00,#fyp #randomcontent #foryouu #blowup? #foryoupage ,un,120,False,,False,False,36,2,0,633,2185,223,479200,427
TikTok,OliviaHenderson,7573548831573282103,2015-01-21T09:49:14.249000+00:00,OLivia Henderson AKA DoorDash Girl has been ARRESTED! #foryou #fyp #usa🇺🇸 #truecrime #doordash ,en,114,False,,False,False,28,1,0,5382,10700,0,463800,90
TikTok,OliviaHenderson,7597527444555402526,2015-01-21T11:22:17.205000+00:00,Tiktok DoorDash Girl Trial Update straight out of court: Things got worse for Olivia Henderson known online as the DoorDash Girl. For allegedly opening the door to her customer and filmed him nude within his home and posted it on TikTok. It seems like the prosecutors have divested the case to county court which is a higher level court. This move makes it look like it’s less likely for her to get a slap on the wrist. She’s currently facing 2 felonies: unlawful surveillance and dissemination of an unlawful surveillance. Which has a max penalty of 8 years in prison combined and minimum sentence of a couple years on probation.,en,114,False,,False,False,958,32,23,21100,28900,154,1400000,385
TikTok,OliviaHenderson,7566634207510809887,2015-01-21T09:22:24.312000+00:00,#stitch with @skiii.2025 #realisrare💯 #doordashgirl #imfamous #fypシ ,un,105,False,,False,False,12,0,4,7283,3989,4750,10800,672
TikTok,OliviaHenderson,7576221692809186573,2015-01-21T09:59:36.573000+00:00,Doordash Girl Olivia Henderson Goes To Jail As She Awaits Charges For Unlawful Surveillance #news #fouryou #trending #breaking #react ,en,114,False,,False,False,71,6,2,12800,2500,0,26200,302
TikTok,OliviaHenderson,7574520679517719863,2015-01-21T09:53:00.525000+00:00,Final thoughts on that! #fyp #doordashgirl ,en,105,False,,False,False,163,24,4,4646,14800,4195,2000000,1283
TikTok,OliviaHenderson,7598325818925862175,2015-01-21T11:25:23.091000+00:00,Door dash girl update / Olivia Henderson ,en,114,False,,False,False,591,33,6,11700,57100,42,14400000,1803
TikTok,OliviaHenderson,7575998193444441399,2015-01-21T09:58:44.535000+00:00,"Replying to @LaVar Jay to be clear, she’s already released lol she isnt in jail. But you guys!! Olivia Henderson can easily argue against her charges!! Praying she doesn’t plead guilty in Jesus’s holy name!! #greenscreen #doordash #feminist #leftisttiktok #survivors",en,114,False,,False,False,70,28,0,4288,736,1506,17200,338
TikTok,OliviaHenderson,7585043072292064525,2015-01-21T10:33:50.460000+00:00,DoorDash girl Olivia Henderson was seen in court and she plead not guilty #fypシ #viraltiktok #foryou #irlmonsterhighdoll #viralvideo,en,114,False,,False,False,64,2,4,5859,27500,55,350700,309
TikTok,OliviaHenderson,7597462688549063949,2015-01-21T11:22:02.127000+00:00,"Disclaimer: I misspoke in my excitement. What I meant is that her case has moved into Superior Court, which is where it proceeds through motions and hearings and, if it doesn’t resolve by plea, it can go to a jury trial. A grand jury is only used to decide whether there’s enough probable cause for an indictment, it is not the trial. #themanicuredmom #doordashgirl #oliviahenderson #falseallegations #falseallegationsruinlives",en,114,False,,False,False,2659,100,53,67000,260000,3374,4800000,2230
TikTok,OliviaHenderson,7575048726956363039,2015-01-21T09:55:03.470000+00:00,Mb for the chapped lips but she crazy asl thinking it wouldn’t be any reprucussions #fyp #xyzbca #oliviahenderson #doordash ,en,105,False,,False,False,67,7,0,1058,672,277,78400,135
TikTok,OliviaHenderson,7574131937179110686,2015-01-21T09:51:30.014000+00:00,#doordashgirl #doordashdriver #OliviaHenderson @B 🏳‍🌈🏳️‍⚧️  so this is absolutely hilarious. This kid is so out of touch with reality. He thinks I’m mad. I’m getting a kick out of this.,en,120,False,,False,False,4,1,0,169,4466,1080,7828,213
TikTok,OliviaHenderson,7539561917631810846,2015-01-21T07:37:21.054000+00:00,Maybe Kaylee’s way of keeping her brother’s heart safe was by bringing Olivia into his life 🤍✨ What do you all think about their story? 💭 #kayleegoncalves #chroniclesofolivia #idaho4 #truecrime #fypシ ,en,114,False,,False,False,1331,40,57,50800,130000,294,11600000,1775
TikTok,OliviaHenderson,7573288786411408671,2015-01-21T09:48:13.702000+00:00,"olivia henderson, the doordash delivery woman, has been taken into custody for 2 counts of felony charges. the way that people are talking about this situation genuinely breaks my heart. with the current president of the u.s. having been charged with SAing a woman, i’m saddened to say i’m not surprised. if you’re a victim of SA, i believe you. if you’re a victim of SA, no matter how you respond, it is not your fault.  the video clip in the video is from @Beatriz  #doordash #olivia #delivery ",en,114,False,,False,False,1053,249,38,40600,24500,1064,1000000,423
TikTok,OliviaHenderson,7573511541677493535,2015-01-21T09:49:05.566000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! #fyp #news #breakingnews #truecrime #doordash,en,114,False,,False,False,64,9,0,1022,10400,0,9773,12
TikTok,OliviaHenderson,7573027065612602638,2015-01-21T09:47:12.766000+00:00,Replying to @.envxsi #oliviahendersonisaqueen #oliviahendersonarmy #doordashgirl #doordash #fyp ,un,110,False,,False,False,111,223,9,25500,3183,1865,469600,7151
TikTok,OliviaHenderson,7573515149957532958,2015-01-21T09:49:06.407000+00:00,DoorDash girl has been arrested and charged for recording the man in his home when she was supposed to be dropping off food #foryou #doordash #olivia ,en,114,False,,False,False,23,0,6,1763,49400,1,464900,255
TikTok,OliviaHenderson,7573608276768623903,2015-01-21T09:49:28.089000+00:00,"i support olivia henderson, the doordash delivery woman. the police & the legal system do not protect victims or marginalized communities. poc, the unhoused, & women have been denied justice historically due to systemic prejudice. legality does not dictate morality & i stand with the victim.  #olivia #doordash #delivery ",en,114,False,,False,False,4598,621,124,35900,24500,1064,1000000,423
TikTok,OliviaHenderson,7573476816464219422,2015-01-21T09:48:57.481000+00:00,"Predators and thoughtless bums dni, this is not a ground for open debate so yes anyone disagreeing with me or spouting bs will be deleted😝",en,114,False,,False,False,45,5,1,1667,2145,51,470500,310
TikTok,OliviaHenderson,7589871649986579767,2015-01-21T10:52:34.701000+00:00,,un,113,False,,False,False,2,0,0,42,36,57,141,48
TikTok,OliviaHenderson,7582585280918572318,2015-01-21T10:24:18.211000+00:00,The infamous DoorDash driver who posted a customer naked on social media had her first court date #doordashgirl #oliviahenderson #viral #fyp #greenscreen ,en,114,False,,False,False,328,12,15,16200,18100,6,448400,143
TikTok,OliviaHenderson,7581322510487080247,2015-01-21T10:19:24.199000+00:00,but don’t worry as long as it happens multiple times first they might actually do something! #oliviahenderson #fypage #doordashdriver #sa #storytime #women #doordashgirl #police #crimetok ,en,114,False,,False,False,73,107,1,3968,703,6,264200,65
TikTok,OliviaHenderson,7576357354002779422,2015-01-21T10:00:08.159000+00:00,"it’s getting weird. I’m telling yall since the Amber Heard trial it’s been downhill. that smear campaign really did a number on the public.  and especially after the recent smear campaign against Olivia Henderson too. this is getting insanely scary, this behavior against victims is not normal. #kierabreaugh #abuseawareness ",en,114,False,,False,False,1113,56,7,29200,13100,2092,2200000,1514
TikTok,OliviaHenderson,7582413679518289183,2015-01-21T10:23:38.257000+00:00,DOORDASH GIRL LOST FOR WORDS AFTER FIRST COURT APPEARANCE 😬 #yaboyant #doordash #girl #arrested #prison ,en,114,False,,False,False,1853,34,57,60100,74300,52,3900000,1344
TikTok,OliviaHenderson,7573639890433363231,2015-01-21T09:49:35.450000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fypシ #foryoupage,en,114,False,,False,False,35,6,2,20200,9927,3,32100,65
