,source,tag,video_id,post_date_utc,description,text_language,category_type,is_aigc,aigc_description,collected,is_reviewing,likes,comments,shares,views,author_follower_count,author_following_count,author_total_likes,author_video_count,datetime
10,TikTok,OliviaHenderson,7574226100356680990,2027-03-23 21:10:24.641000+00:00,Olivia Henderson AKA “Door Dash Girl” arrested and charged with TWO FELONIES 😬 #oliviahenderson #doordashgirl #doordash #teatok ,en,114,False,,False,False,97,12,1,21000,393600,321,31400000,1259,2025-11-18 18:25:38
11,TikTok,OliviaHenderson,7573056739889728798,2027-03-20 15:43:47.380000+00:00,DoorDash Girl (Olivia Henderson) Update #blacktiktok ,en,114,False,,False,False,6622,438,130,95600,57100,42,14400000,1803,2025-11-15 14:47:55
12,TikTok,OliviaHenderson,7581736026477972749,2027-04-13 14:32:10.556000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fypシ #foryoupage,en,114,False,,False,False,106,8,29,2849,10700,0,11300,50,2025-12-09 00:07:59
13,TikTok,OliviaHenderson,7573920440243031351,2027-03-23 00:55:49.591000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update,en,114,False,,False,False,1387,76,84,143300,12500,0,42600,42,2025-11-17 22:39:31
14,TikTok,OliviaHenderson,7534830336845335839,2026-12-05 04:05:42.682000+00:00,,un,109,False,,False,False,50,4,1,416,6515,5230,76500,1143,2025-08-04 15:29:57
15,TikTok,OliviaHenderson,7574007746190642462,2027-03-23 06:42:44.951000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY!#fyp #news #oliviahenderson #doordash #update,en,114,False,,False,False,151,1,6,3837,9896,0,6603,54,2025-11-18 04:18:18
16,TikTok,OliviaHenderson,7573717796299820318,2027-03-22 11:30:35.510000+00:00,Doordash girl was arrested Aka Livie Henderson. This is the last video I'm making on this subject. Trolls will be blocked.,en,114,False,,False,False,130,0,2,3388,30100,1656,2000000,2217,2025-11-17 09:33:09
17,TikTok,OliviaHenderson,7596652548082257165,2027-05-24 18:25:06.442000+00:00,The Secret Lives Of Mormon Wives coming to @hulu 9/6 @secretlivesonhulu 👀😜 #thesecretlivesofmormonwives ,en,109,False,,False,False,55,0,0,920,58,0,7300,49,2026-01-18 04:51:42
18,TikTok,OliviaHenderson,7576957509102030135,2027-03-31 10:04:03.233000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!!#doordashgirl #oliviahenderson,en,114,False,,False,False,347,26,20,61600,10300,0,17600,127,2025-11-26 03:04:53
19,TikTok,OliviaHenderson,7577695325314403639,2027-04-02 10:55:52.326000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,False,,False,False,42,2,0,6731,10,0,249,26,2025-11-28 02:48:00
20,TikTok,OliviaHenderson,7573451606495120653,2027-03-21 17:52:50.915000+00:00,Think before you post ! #storytelling #storytimes #oliviahenderson #doordash #greenscreensticker ,en,114,False,,False,False,13400,431,175,153700,11900,25,409800,46,2025-11-16 16:20:12
21,TikTok,OliviaHenderson,7573549315822521613,2027-03-22 00:21:06.634000+00:00,Replying to @ghettoasskorean #themanicuredmom #doordashgirl #oliviahendersen #falseallegationsruinlives #idontbelieveallwomen ,un,114,False,,False,False,3697,382,74,290800,260000,3374,4800000,2230,2025-11-16 22:39:21
22,TikTok,OliviaHenderson,6961485859023490309,2022-08-06 00:59:26.944000+00:00,Look at the pretty clouds! But not even the clouds look prettier then me 😘💋 anyways I had a wardrobe change 😝 #oliviahendersonisaqueen,en,120,False,,False,False,37,2,0,273,211,68,1229,28,2021-05-12 14:20:33
23,TikTok,OliviaHenderson,7572991365676567838,2027-03-20 11:24:00.953000+00:00,"Replying to @Chris Cadence  @Stephanie, Esq. #irlmonsterhighdoll #oliviahenderson ",un,114,False,,False,False,179,23,5,8625,21900,800,2200000,2220,2025-11-15 10:34:14
24,TikTok,OliviaHenderson,7578480375228321055,2027-04-04 14:55:22.811000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson ,en,114,False,,False,False,127,10,1,2957,13100,28,160200,766,2025-11-30 05:34:23
25,TikTok,OliviaHenderson,7573263347668323639,2027-03-21 05:24:46.513000+00:00,Olivia Henderson KAK DoorDash Girl has been ARRESTED! 11/15 #fyp #news #breakingnews #truecrime #doordash ,en,114,False,,False,False,122,3,5,19200,12000,1,133900,233,2025-11-16 04:09:39
26,TikTok,OliviaHenderson,7597651587552562446,2027-05-27 12:34:56.013000+00:00,Door Dash girl update 1/20/26  #doordashgirl #oliviahenderson #doordash #doordashdriver #truecrime ,en,114,False,,False,False,146,6,0,5089,76400,6688,3800000,2101,2026-01-20 21:28:29
27,TikTok,OliviaHenderson,7575117750515830071,2027-03-26 08:13:30.605000+00:00,Y’all remember that #DoorDashgirl story from a month ago Well girl girl has been arrested for recording the customer inside of his home and posting it online.#truecrime #doordash #lawandorder,en,114,False,,False,False,47,4,0,4089,782,0,34600,39,2025-11-21 04:05:41
28,TikTok,OliviaHenderson,7573032303660748087,2027-03-20 14:06:41.329000+00:00,Replying to @Briansgurl2018 #doordashgirl #doordash #feminist #feminism #womanism ,un,110,False,,False,False,12,14,2,2169,3183,1865,469600,7151,2025-11-15 13:13:05
29,TikTok,OliviaHenderson,7573843584693144862,2027-03-22 19:50:25.800000+00:00,#doordashgirl #oliviahenderson #doordash #olivia #arrested ,un,104,False,,False,False,850,59,23,41400,12000,6799,125600,873,2025-11-17 17:41:16
30,TikTok,OliviaHenderson,7573144913982934303,2027-03-20 21:34:09.722000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,False,,False,False,125,3,9,19700,10700,21,60000,68,2025-11-15 20:30:04
31,TikTok,OliviaHenderson,7581573124127313182,2027-04-13 03:44:51.609000+00:00,Doordash girl Oliva Henderson appears in court after being arrested for spreading images of man online. #court #doordash #murder #trial #oswego ,en,114,False,,False,False,4971,155,250,308800,6255,42,137000,315,2025-12-08 13:35:50
32,TikTok,OliviaHenderson,7573162220125736206,2027-03-20 22:42:55.828000+00:00,DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,False,,False,False,131,4,1,1128,10400,0,19100,99,2025-11-15 21:37:14
33,TikTok,OliviaHenderson,7599116294566235447,2027-05-31 13:35:09.378000+00:00,Update: Olivia Henderson Door Dash Employee of 2025 #fyp #foryourpage #greenscreen ,en,114,False,,False,False,1549,37,25,13000,441600,1399,12600000,1550,2026-01-24 20:12:18
34,TikTok,OliviaHenderson,7581358563486911757,2027-04-12 13:32:16.366000+00:00,Update on DoorDash girl aka Olivia Henderson as she made her first court appearance. She was formally charged and entered her plea. She didn’t seem thrilled about the cameras there. #doordashgirl #oliviahenderson #irlmonsterhighdoll #up,en,114,False,,False,False,570,35,28,44500,13100,1,191900,46,2025-12-07 23:43:14
35,TikTok,OliviaHenderson,7352721713009839365,2025-07-20 15:31:03.345000+00:00,✌️,un,110,False,,False,False,100,9,0,3247,339,156,53000,11,2024-03-31 21:35:29
36,TikTok,OliviaHenderson,7574100177879895326,2027-03-23 12:50:02.383000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update ,en,114,False,,False,False,26,4,0,2097,10100,0,28100,52,2025-11-18 10:16:59
37,TikTok,OliviaHenderson,7589882925668158734,2027-05-06 02:05:02.685000+00:00,,un,113,False,,False,False,2,0,0,51,36,57,141,48,2025-12-30 23:02:06
38,TikTok,OliviaHenderson,7573872977385622839,2027-03-22 21:47:13.564000+00:00,Replying to @ashleean1  PD speaks out regarding Door Dash Girl case!!  #doordash #oliviahenderson #deliverydriver #investigation ,en,114,False,,False,False,131,8,3,6655,76400,6688,3800000,2101,2025-11-17 19:35:20
39,TikTok,OliviaHenderson,7574819452680801567,2027-03-25 12:28:10.859000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update  ,en,114,False,,False,False,150,3,5,17300,10000,8,91500,153,2025-11-20 08:48:08
40,TikTok,OliviaHenderson,7597360906691038495,2027-05-26 17:19:52.295000+00:00,Update on DoorDash girl aka Olivia Henderson as she made her first court appearance. She was formally charged and entered her plea.She didn't seem thrilled about the cameras there #doordashgirl #oliviahenderson #irlmonsterhighdoll #update #court,en,114,False,,False,False,588,27,21,45200,10200,0,5107,11,2026-01-20 02:40:29
41,TikTok,OliviaHenderson,7579168614847155487,2027-04-06 12:30:11.923000+00:00,Humans are so Back! #fyp #Oliviahenderson #trump #usa #update ,en,114,False,,False,False,149,6,7,5637,16400,61,605500,803,2025-12-02 02:05:06
42,TikTok,OliviaHenderson,7573186412665670926,2027-03-21 00:19:03.779000+00:00,Olivia Henderson #viral #fypシ #doordash #foryoupage #trending ,en,105,False,,False,False,136,9,1,2550,11500,53,2200000,411,2025-11-15 23:11:06
43,TikTok,OliviaHenderson,7581365225257979150,2027-04-12 13:58:44.656000+00:00,Update on DoorDash girl aka Olivia Henderson as she made her first court appearance. She was formally charged and entered her plea. She didn’t seem thrilled about the cameras there. #doordashgirl#oliviahenderson#irlmonsterhighdoll#updat,en,114,False,,False,False,3595,178,192,280000,26900,3,365100,174,2025-12-08 00:09:05
44,TikTok,OliviaHenderson,7573365534431907102,2027-03-21 12:10:49.736000+00:00,DoorDash girl has been arrested #fypシ #foryoupage #irlmonsterhighdoll #doordash #breakingnews ,en,114,False,,False,False,1218,160,24,33800,341300,436,26200000,1818,2025-11-16 10:46:12
45,TikTok,OliviaHenderson,7583248532102991134,2027-04-17 18:42:19.998000+00:00,"DoorDash Girl asked judge for ""no cameras” in courtroom after pleading not guilty #doordashgirl #oliviahenderson #viral #fyp #greenscreen",en,114,False,,False,False,36100,377,1417,497200,88,0,37300,15,2025-12-13 01:57:16
46,TikTok,OliviaHenderson,7576230323000741150,2027-03-29 09:54:28.556000+00:00,Doordash Girl Olivia Henderson Goes To Jail As She Awaits Charges For Unlawful Surveillance #news #fouryou #trending #breaking #react ,en,114,False,,False,False,86,6,14,34800,2500,0,26200,302,2025-11-24 04:03:02
47,TikTok,OliviaHenderson,7465843017472036126,2026-05-28 19:14:44.021000+00:00,,un,110,False,,False,False,54,4,1,542,6515,5230,76500,1143,2025-01-30 16:43:55
48,TikTok,OliviaHenderson,7573577566209002783,2027-03-22 02:13:22.051000+00:00,#fyp #foryou #usa🇺🇸 ,un,114,False,,False,False,20,1,1,966,13800,1,127400,183,2025-11-17 00:28:59
49,TikTok,OliviaHenderson,7126445269289323778,2023-11-04 05:49:15.149000+00:00,oh yeah @oliviaahenderson,en,110,False,,False,False,577,25,3,14000,864,1206,14700,25,2022-07-31 03:07:19
50,TikTok,OliviaHenderson,7241286499805924634,2024-09-16 03:27:18.151000+00:00,I ain't made edit for this fic in time  #ALLFORONEANDONEFORALLWP #OLIVIAHENDERSON  #fanfiction #lucassinclairfanfiction #stfanfic #strangerthings #fanfic #strangerthingsfanfic #fypシ #hopeherondale03wp #foryoupage #maxmayfield #lucasstrangerthings #polyfanfic #lumax #maxmayfieldfanfic #lucassinclairfanfic #lucassinclair #foryou,en,101,False,,False,False,149,9,2,2130,1053,1304,34800,237,2023-06-05 14:29:56
51,TikTok,OliviaHenderson,7580486101102562615,2027-04-10 03:45:25.124000+00:00,"As Dashers, we see things most people never will. We walk into darkness, weather, traffic, and the unknown every single day just to make sure strangers get their food. And lately… with everything happening in the Olivia Henderson situation, people are finally seeing how complicated and dangerous this job can really be. #doordashgirl #oliviahenderson #doordash #falseallegations ",en,114,False,,False,False,53,10,2,16600,29,9,1065,45,2025-12-05 15:17:38
52,TikTok,OliviaHenderson,7573154002578181390,2027-03-20 22:10:16.612000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 11/15  and DoorDash Girl has officially been charged and arrested for her crimes #fyp #news #breakingnews #truecrime #doordash  #ForYouPage #doordashdriver #Attorneylife #truecrimetok #tiktoktea  #fired#doordashgirl #arrested #update #irlmonsterhighdoll #Olivia #oliviahenderson #fyp #usa #fypシ #influencer #tiktoker #news #breakingnews #Foryou ,en,114,False,,False,False,968,61,104,164800,13800,55,197500,189,2025-11-15 21:05:20
53,TikTok,OliviaHenderson,7573581397063945502,2027-03-22 02:28:35.398000+00:00,DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,False,,False,False,128,5,3,2445,10100,12,1123,11,2025-11-17 00:43:51
54,TikTok,OliviaHenderson,7573572420846570807,2027-03-22 01:52:55.301000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fyp #foryoupage,en,114,False,,False,False,4898,260,922,514700,9272,0,5652,14,2025-11-17 00:09:01
55,TikTok,OliviaHenderson,7573388168242793758,2027-03-21 13:40:46.057000+00:00,#greenscreen #doordashgirl #oliviahenderson #doordash #justice ,un,114,False,,False,False,169,17,4,3630,24300,7611,497600,1481,2025-11-16 12:14:01
56,TikTok,OliviaHenderson,7573890479520058679,2027-03-22 22:56:46.398000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update,en,114,False,,False,False,172,7,10,49300,14000,26,196200,108,2025-11-17 20:43:15
57,TikTok,OliviaHenderson,7593941655766469901,2027-05-17 06:52:59.348000+00:00,😛😛,un,110,False,,False,False,34,8,0,266,82,167,935,18,2026-01-10 21:32:03
58,TikTok,OliviaHenderson,7565733795605875981,2027-02-28 10:45:01.409000+00:00,#doordashgirl: #OliviaHenderson update 👀!!  #DoorDash #Irlmonsterhighdoll #doordashdriver ,en,114,False,,False,False,487,351,16,43500,20400,421,895400,360,2025-10-26 22:11:09
59,TikTok,OliviaHenderson,7573700903971147038,2027-03-22 10:23:28.065000+00:00,Olivia Henderson Is NOT A Victim #savictim  #doordasher  #SA #storytimes #doordash,en,114,False,,False,False,40,16,1,2941,1649,489,98400,836,2025-11-17 08:27:36
60,TikTok,OliviaHenderson,7581775505657974047,2027-04-13 17:09:03.126000+00:00,,un,114,False,,False,False,60,3,0,1149,9246,0,3510,34,2025-12-09 02:41:11
61,TikTok,OliviaHenderson,7583347788382031117,2027-04-18 01:16:44.539000+00:00,#irlmonstahighdoll #doordashgirl #olivahenderson #ringdoorbell #proof  Proof Olivia Henderson DoorDash Girl Lied And Opened Door,en,120,False,,False,False,444,26,33,67800,391,1356,5846,126,2025-12-13 08:22:26
62,TikTok,OliviaHenderson,7599094393164795149,2027-05-31 12:08:07.677000+00:00,,un,110,False,,False,False,274,13,0,2797,773,795,4771,16,2026-01-24 18:47:18
63,TikTok,OliviaHenderson,6801524058224741637,2021-05-21 15:08:21.687000+00:00,#greenscreen go follow my new account @x0liviaah,en,120,False,,False,False,23,0,0,6048,153,189,23,1,2020-03-07 11:47:04
64,TikTok,OliviaHenderson,7573792563392531725,2027-03-22 16:27:41.374000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update ,en,114,False,,False,False,50300,2521,1466,1000000,325300,0,52000000,2014,2025-11-17 14:23:17
65,TikTok,OliviaHenderson,7573619200573345054,2027-03-22 04:58:48.457000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! #foryou #usa🇺🇸 #news #truecrime #doordash ,en,114,False,,False,False,144,23,9,25200,8801,0,62400,18,2025-11-17 03:10:33
66,TikTok,OliviaHenderson,7575119565064080654,2027-03-26 08:20:43.227000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson ,en,114,False,,False,False,105,9,8,17600,12200,8,50800,133,2025-11-21 04:12:44
67,TikTok,OliviaHenderson,7566348525336808734,2027-03-02 03:27:44.398000+00:00,Door Dash girl original video #doordash #doorbellcamera #doordashgirl #foodelivery,en,105,False,,False,False,6905,1248,365,1400000,11300,0,72300,37,2025-10-28 13:56:37
68,TikTok,OliviaHenderson,6813863490101529861,2021-06-24 16:20:51.502000+00:00,new account!! follow please. if you are from @henderson_olivia #foryou #indoorworkout,en,120,False,,False,False,29,0,0,2663,49,158,309,7,2020-04-09 18:50:22
69,TikTok,OliviaHenderson,7573007862885109022,2027-03-20 12:29:34.194000+00:00,Major update as DoorDash girl aka Olivia Henderson aka irlmonsterhighgirl has been arrested. #doordash #doordashgirl #arrested #update #irlmonsterhighdoll,en,114,False,,False,False,26700,950,1139,970200,52800,437,3400000,378,2025-11-15 11:38:15
70,TikTok,OliviaHenderson,7573127608959913247,2027-03-20 20:25:23.883000+00:00,DoorDash girl Olivia Henderson has been arrested and is facing two felony charges#doordash #doordashgirl #breakingnews #viral #fyp,en,114,False,,False,False,496,41,16,163400,11200,0,181100,100,2025-11-15 19:22:55
71,TikTok,OliviaHenderson,6961443042054262021,2022-08-05 22:09:18.583000+00:00,"I know, you don’t need to state how pretty I am. 😜💋✨🤞oh also if you wanna be in my cult make your profile the same as mine#oliviahendersonisaqueen",en,120,False,,False,False,30,7,0,259,211,68,1229,28,2021-05-12 11:34:24
72,TikTok,OliviaHenderson,7573433433574083871,2027-03-21 16:40:38.153000+00:00,crazy#viral #fypシ #doordash #foryoupage #trending ,en,114,False,,False,False,88,9,1,1752,11500,53,2200000,411,2025-11-16 15:09:41
73,TikTok,OliviaHenderson,7574754812403715359,2027-03-25 08:11:19.416000+00:00,DoorDash Girls Initial Police Report #truecrimetok #tiktokea #doordash #doordashdriver #arrested,en,114,False,,False,False,410,26,47,78900,33400,8,1600000,7,2025-11-20 04:37:18
74,TikTok,OliviaHenderson,7574187130134547742,2027-03-23 18:35:33.416000+00:00,"Replying to @happyhippie310 #doordash #dasher #oliviahenderson  #fyp #doordashgirl  If you’re going to come at me make sure you know who you’re talking to first. 😮‍💨 she screamed SA, when there was no threat to her, my question remains IF the roles were reversed would you still be defending the door dasher? 🤦‍♀️ BYE. ",en,114,False,,False,False,161,18,1,3770,9708,7798,118800,894,2025-11-18 15:54:24
75,TikTok,OliviaHenderson,7573151931896483102,2027-03-20 22:02:02.923000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 1115 #fyp #news #breakingnews #truecrime #doordash,en,114,False,,False,False,2424,174,580,340800,9994,0,21800,36,2025-11-15 20:57:18
76,TikTok,OliviaHenderson,7323024070356782379,2025-04-29 16:43:13.581000+00:00,its giving me fladhbacks to when i tried to do it in 6th grade..,en,110,False,,False,False,18,3,0,143,54,51,599,28,2024-01-11 19:53:27
77,TikTok,OliviaHenderson,7575535617409305886,2027-03-27 11:53:57.836000+00:00,Replying to @Glenn Dale McGee #doordashgirl #oliviahenderson #legaltok #fyp  ,un,105,False,,False,False,855,130,17,50800,2586,559,137100,1342,2025-11-22 07:07:13
78,TikTok,OliviaHenderson,7573141523362057527,2027-03-20 21:20:41.335000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 11/15 #fyp #news #breakingnews #truecrime #doordash ,en,114,False,,False,False,77,2,2,10900,14500,23,292700,152,2025-11-15 20:16:55
79,TikTok,OliviaHenderson,7582285318322261262,2027-04-15 02:54:51.937000+00:00,Court is in session #doordash #doordashgirl #oliviahenderson ,en,114,False,,False,False,2109,248,37,39000,80600,5,2600000,257,2025-12-10 11:39:31
80,TikTok,OliviaHenderson,7573833687712927006,2027-03-22 19:11:06.176000+00:00,Major update on DoorDash girl Olivia. The Oswego police department issued a statement with details. #doordash #doordashgirl #irlmonsterhighdoll #oswego #update ,en,114,False,,False,False,45400,1595,2362,757700,52800,437,3400000,378,2025-11-17 17:02:52
81,TikTok,OliviaHenderson,7594528656278506807,2027-05-18 21:45:31.176000+00:00,"Olivia Henderson, AKA DoorDash Girl, Allegedly Arrested on 11/15 — What Really Happened? #truecrime #DoorDash #breakingnews #allegedly #storytime #fyp #foryou #bnc_news #tiktok #news #pov #fypシ #viral #story",en,114,False,,False,False,7,0,0,867,10200,65,2800,71,2026-01-12 11:29:55
82,TikTok,OliviaHenderson,7573390228866583830,2027-03-21 13:48:57.348000+00:00,#fyp #randomcontent #foryouu #blowup? #foryoupage ,un,120,False,,False,False,36,2,0,633,2185,223,479200,427,2025-11-16 12:22:01
83,TikTok,OliviaHenderson,7573548831573282103,2027-03-22 00:19:11.180000+00:00,OLivia Henderson AKA DoorDash Girl has been ARRESTED! #foryou #fyp #usa🇺🇸 #truecrime #doordash ,en,114,False,,False,False,28,1,0,5382,10700,0,463800,90,2025-11-16 22:37:29
84,TikTok,OliviaHenderson,7597527444555402526,2027-05-27 04:21:38.016000+00:00,Tiktok DoorDash Girl Trial Update straight out of court: Things got worse for Olivia Henderson known online as the DoorDash Girl. For allegedly opening the door to her customer and filmed him nude within his home and posted it on TikTok. It seems like the prosecutors have divested the case to county court which is a higher level court. This move makes it look like it’s less likely for her to get a slap on the wrist. She’s currently facing 2 felonies: unlawful surveillance and dissemination of an unlawful surveillance. Which has a max penalty of 8 years in prison combined and minimum sentence of a couple years on probation.,en,114,False,,False,False,958,32,23,21100,28900,154,1400000,385,2026-01-20 13:26:45
85,TikTok,OliviaHenderson,7566634207510809887,2027-03-02 22:22:56.336000+00:00,#stitch with @skiii.2025 #realisrare💯 #doordashgirl #imfamous #fypシ ,un,105,False,,False,False,12,0,4,7283,3989,4750,10800,672,2025-10-29 08:25:12
86,TikTok,OliviaHenderson,7576221692809186573,2027-03-29 09:20:10.958000+00:00,Doordash Girl Olivia Henderson Goes To Jail As She Awaits Charges For Unlawful Surveillance #news #fouryou #trending #breaking #react ,en,114,False,,False,False,71,6,2,12800,2500,0,26200,302,2025-11-24 03:29:33
87,TikTok,OliviaHenderson,7574520679517719863,2027-03-24 16:40:57.786000+00:00,Final thoughts on that! #fyp #doordashgirl ,en,105,False,,False,False,163,24,4,4646,14800,4195,2000000,1283,2025-11-19 13:28:45
88,TikTok,OliviaHenderson,7598325818925862175,2027-05-29 09:14:05.299000+00:00,Door dash girl update / Olivia Henderson ,en,114,False,,False,False,591,33,6,11700,57100,42,14400000,1803,2026-01-22 17:04:51
89,TikTok,OliviaHenderson,7575998193444441399,2027-03-28 18:32:04.557000+00:00,"Replying to @LaVar Jay to be clear, she’s already released lol she isnt in jail. But you guys!! Olivia Henderson can easily argue against her charges!! Praying she doesn’t plead guilty in Jesus’s holy name!! #greenscreen #doordash #feminist #leftisttiktok #survivors",en,114,False,,False,False,70,28,0,4288,736,1506,17200,338,2025-11-23 13:02:15
90,TikTok,OliviaHenderson,7585043072292064525,2027-04-22 17:33:11.720000+00:00,DoorDash girl Olivia Henderson was seen in court and she plead not guilty #fypシ #viraltiktok #foryou #irlmonsterhighdoll #viralvideo,en,114,False,,False,False,64,2,4,5859,27500,55,350700,309,2025-12-17 22:01:00
91,TikTok,OliviaHenderson,7597462688549063949,2027-05-27 00:04:18.981000+00:00,"Disclaimer: I misspoke in my excitement. What I meant is that her case has moved into Superior Court, which is where it proceeds through motions and hearings and, if it doesn’t resolve by plea, it can go to a jury trial. A grand jury is only used to decide whether there’s enough probable cause for an indictment, it is not the trial. #themanicuredmom #doordashgirl #oliviahenderson #falseallegations #falseallegationsruinlives",en,114,False,,False,False,2659,100,53,67000,260000,3374,4800000,2230,2026-01-20 09:15:27
92,TikTok,OliviaHenderson,7575048726956363039,2027-03-26 03:39:14.106000+00:00,Mb for the chapped lips but she crazy asl thinking it wouldn’t be any reprucussions #fyp #xyzbca #oliviahenderson #doordash ,en,105,False,,False,False,67,7,0,1058,672,277,78400,135,2025-11-20 23:37:50
93,TikTok,OliviaHenderson,7574131937179110686,2027-03-23 14:56:14.390000+00:00,#doordashgirl #doordashdriver #OliviaHenderson @B 🏳‍🌈🏳️‍⚧️  so this is absolutely hilarious. This kid is so out of touch with reality. He thinks I’m mad. I’m getting a kick out of this.,en,120,False,,False,False,4,1,0,169,4466,1080,7828,213,2025-11-18 12:20:14
94,TikTok,OliviaHenderson,7539561917631810846,2026-12-18 05:27:19.450000+00:00,Maybe Kaylee’s way of keeping her brother’s heart safe was by bringing Olivia into his life 🤍✨ What do you all think about their story? 💭 #kayleegoncalves #chroniclesofolivia #idaho4 #truecrime #fypシ ,en,114,False,,False,False,1331,40,57,50800,130000,294,11600000,1775,2025-08-17 09:30:54
95,TikTok,OliviaHenderson,7573288786411408671,2027-03-21 07:05:51.582000+00:00,"olivia henderson, the doordash delivery woman, has been taken into custody for 2 counts of felony charges. the way that people are talking about this situation genuinely breaks my heart. with the current president of the u.s. having been charged with SAing a woman, i’m saddened to say i’m not surprised. if you’re a victim of SA, i believe you. if you’re a victim of SA, no matter how you respond, it is not your fault.  the video clip in the video is from @Beatriz  #doordash #olivia #delivery ",en,114,False,,False,False,1053,249,38,40600,24500,1064,1000000,423,2025-11-16 05:48:22
