source,tag,video_id,post_date_utc,description,text_language,category_type,is_aigc,aigc_description,collected,is_reviewing,likes,comments,shares,views,author_follower_count,author_following_count,author_total_likes,author_video_count
TikTok,OliviaHenderson,7.57512E+18,2015-01-21T09:55:19.541000+00:00,Y’all remember that #DoorDashgirl story from a month ago Well girl girl has been arrested for recording the customer inside of his home and posting it online.#truecrime #doordash #lawandorder,en,114,FALSE,,FALSE,FALSE,47,4,0,4089,782,0,34600,39
TikTok,OliviaHenderson,7.57303E+18,2015-01-21T09:47:13.985000+00:00,Replying to @Briansgurl2018 #doordashgirl #doordash #feminist #feminism #womanism ,un,110,FALSE,,FALSE,FALSE,12,14,2,2169,3183,1865,469600,7151
TikTok,OliviaHenderson,7.57384E+18,2015-01-21T09:50:22.876000+00:00,#doordashgirl #oliviahenderson #doordash #olivia #arrested ,un,104,FALSE,,FALSE,FALSE,850,59,23,41400,12000,6799,125600,873
TikTok,OliviaHenderson,7.57314E+18,2015-01-21T09:47:40.204000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,FALSE,,FALSE,FALSE,125,3,9,19700,10700,21,60000,68
TikTok,OliviaHenderson,7.58157E+18,2015-01-21T10:20:22.550000+00:00,Doordash girl Oliva Henderson appears in court after being arrested for spreading images of man online. #court #doordash #murder #trial #oswego ,en,114,FALSE,,FALSE,FALSE,4971,155,250,308800,6255,42,137000,315
TikTok,OliviaHenderson,7.57316E+18,2015-01-21T09:47:44.234000+00:00,DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,FALSE,,FALSE,FALSE,131,4,1,1128,10400,0,19100,99
TikTok,OliviaHenderson,7.59912E+18,2015-01-21T11:28:27.138000+00:00,Update: Olivia Henderson Door Dash Employee of 2025 #fyp #foryourpage #greenscreen ,en,114,FALSE,,FALSE,FALSE,1549,37,25,13000,441600,1399,12600000,1550
TikTok,OliviaHenderson,7.58136E+18,2015-01-21T10:19:32.594000+00:00,Update on DoorDash girl aka Olivia Henderson as she made her first court appearance. She was formally charged and entered her plea. She didn’t seem thrilled about the cameras there. #doordashgirl #oliviahenderson #irlmonsterhighdoll #up,en,114,FALSE,,FALSE,FALSE,570,35,28,44500,13100,1,191900,46
TikTok,OliviaHenderson,7.5741E+18,2015-01-21T09:51:22.619000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update ,en,114,FALSE,,FALSE,FALSE,26,4,0,2097,10100,0,28100,52
TikTok,OliviaHenderson,7.57387E+18,2015-01-21T09:50:29.720000+00:00,Replying to @ashleean1  PD speaks out regarding Door Dash Girl case!!  #doordash #oliviahenderson #deliverydriver #investigation ,en,114,FALSE,,FALSE,FALSE,131,8,3,6655,76400,6688,3800000,2101
TikTok,OliviaHenderson,7.57482E+18,2015-01-21T09:54:10.088000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update  ,en,114,FALSE,,FALSE,FALSE,150,3,5,17300,10000,8,91500,153
TikTok,OliviaHenderson,7.59736E+18,2015-01-21T11:21:38.429000+00:00,Update on DoorDash girl aka Olivia Henderson as she made her first court appearance. She was formally charged and entered her plea.She didn't seem thrilled about the cameras there #doordashgirl #oliviahenderson #irlmonsterhighdoll #update #court,en,114,FALSE,,FALSE,FALSE,588,27,21,45200,10200,0,5107,11
TikTok,OliviaHenderson,7.57917E+18,2015-01-21T10:11:02.706000+00:00,Humans are so Back! #fyp #Oliviahenderson #trump #usa #update ,en,114,FALSE,,FALSE,FALSE,149,6,7,5637,16400,61,605500,803
TikTok,OliviaHenderson,7.57319E+18,2015-01-21T09:47:49.866000+00:00,Olivia Henderson #viral #fypシ #doordash #foryoupage #trending ,en,105,FALSE,,FALSE,FALSE,136,9,1,2550,11500,53,2200000,411
TikTok,OliviaHenderson,7.58137E+18,2015-01-21T10:19:34.145000+00:00,Update on DoorDash girl aka Olivia Henderson as she made her first court appearance. She was formally charged and entered her plea. She didn’t seem thrilled about the cameras there. #doordashgirl#oliviahenderson#irlmonsterhighdoll#updat,en,114,FALSE,,FALSE,FALSE,3595,178,192,280000,26900,3,365100,174
TikTok,OliviaHenderson,7.57337E+18,2015-01-21T09:48:31.572000+00:00,DoorDash girl has been arrested #fypシ #foryoupage #irlmonsterhighdoll #doordash #breakingnews ,en,114,FALSE,,FALSE,FALSE,1218,160,24,33800,341300,436,26200000,1818
TikTok,OliviaHenderson,7.58325E+18,2015-01-21T10:26:52.636000+00:00,"DoorDash Girl asked judge for ""no cameras” in courtroom after pleading not guilty #doordashgirl #oliviahenderson #viral #fyp #greenscreen",en,114,FALSE,,FALSE,FALSE,36100,377,1417,497200,88,0,37300,15
TikTok,OliviaHenderson,7.57623E+18,2015-01-21T09:59:38.582000+00:00,Doordash Girl Olivia Henderson Goes To Jail As She Awaits Charges For Unlawful Surveillance #news #fouryou #trending #breaking #react ,en,114,FALSE,,FALSE,FALSE,86,6,14,34800,2500,0,26200,302
TikTok,OliviaHenderson,7.46584E+18,2015-01-21T02:51:17.035000+00:00,,un,110,FALSE,,FALSE,FALSE,54,4,1,542,6515,5230,76500,1143
TikTok,OliviaHenderson,7.12645E+18,2015-01-20T04:54:14.839000+00:00,oh yeah @oliviaahenderson,en,110,FALSE,,FALSE,FALSE,577,25,3,14000,864,1206,14700,25
TikTok,OliviaHenderson,7.58049E+18,2015-01-21T10:16:09.458000+00:00,"As Dashers, we see things most people never will. We walk into darkness, weather, traffic, and the unknown every single day just to make sure strangers get their food. And lately… with everything happening in the Olivia Henderson situation, people are finally seeing how complicated and dangerous this job can really be. #doordashgirl #oliviahenderson #doordash #falseallegations ",en,114,FALSE,,FALSE,FALSE,53,10,2,16600,29,9,1065,45
TikTok,OliviaHenderson,7.57315E+18,2015-01-21T09:47:42.320000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 11/15  and DoorDash Girl has officially been charged and arrested for her crimes #fyp #news #breakingnews #truecrime #doordash  #ForYouPage #doordashdriver #Attorneylife #truecrimetok #tiktoktea  #fired#doordashgirl #arrested #update #irlmonsterhighdoll #Olivia #oliviahenderson #fyp #usa #fypシ #influencer #tiktoker #news #breakingnews #Foryou ,en,114,FALSE,,FALSE,FALSE,968,61,104,164800,13800,55,197500,189
TikTok,OliviaHenderson,7.57358E+18,2015-01-21T09:49:21.831000+00:00,DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,FALSE,,FALSE,FALSE,128,5,3,2445,10100,12,1123,11
TikTok,OliviaHenderson,7.57357E+18,2015-01-21T09:49:19.741000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fyp #foryoupage,en,114,FALSE,,FALSE,FALSE,4898,260,922,514700,9272,0,5652,14
TikTok,OliviaHenderson,7.57339E+18,2015-01-21T09:48:36.841000+00:00,#greenscreen #doordashgirl #oliviahenderson #doordash #justice ,un,114,FALSE,,FALSE,FALSE,169,17,4,3630,24300,7611,497600,1481
TikTok,OliviaHenderson,7.57389E+18,2015-01-21T09:50:33.795000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update,en,114,FALSE,,FALSE,FALSE,172,7,10,49300,14000,26,196200,108
TikTok,OliviaHenderson,7.56573E+18,2015-01-21T09:18:54.669000+00:00,#doordashgirl: #OliviaHenderson update 👀!!  #DoorDash #Irlmonsterhighdoll #doordashdriver ,en,114,FALSE,,FALSE,FALSE,487,351,16,43500,20400,421,895400,360
TikTok,OliviaHenderson,7.5737E+18,2015-01-21T09:49:49.656000+00:00,Olivia Henderson Is NOT A Victim #savictim  #doordasher  #SA #storytimes #doordash,en,114,FALSE,,FALSE,FALSE,40,16,1,2941,1649,489,98400,836
TikTok,OliviaHenderson,7.58178E+18,2015-01-21T10:21:09.671000+00:00,,un,114,FALSE,,FALSE,FALSE,60,3,0,1149,9246,0,3510,34
TikTok,OliviaHenderson,7.59909E+18,2015-01-21T11:28:22.038000+00:00,,un,110,FALSE,,FALSE,FALSE,274,13,0,2797,773,795,4771,16
TikTok,OliviaHenderson,6.80152E+18,2015-01-19T07:53:23.224000+00:00,#greenscreen go follow my new account @x0liviaah,en,120,FALSE,,FALSE,FALSE,23,0,0,6048,153,189,23,1
TikTok,OliviaHenderson,7.57379E+18,2015-01-21T09:50:10.997000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update ,en,114,FALSE,,FALSE,FALSE,50300,2521,1466,1000000,325300,0,52000000,2014
TikTok,OliviaHenderson,7.57362E+18,2015-01-21T09:49:30.633000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! #foryou #usa🇺🇸 #news #truecrime #doordash ,en,114,FALSE,,FALSE,FALSE,144,23,9,25200,8801,0,62400,18
TikTok,OliviaHenderson,7.57512E+18,2015-01-21T09:55:19.964000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson ,en,114,FALSE,,FALSE,FALSE,105,9,8,17600,12200,8,50800,133
TikTok,OliviaHenderson,7.56635E+18,2015-01-21T09:21:17.797000+00:00,Door Dash girl original video #doordash #doorbellcamera #doordashgirl #foodelivery,en,105,FALSE,,FALSE,FALSE,6905,1248,365,1400000,11300,0,72300,37
TikTok,OliviaHenderson,7.57301E+18,2015-01-21T09:47:08.295000+00:00,Major update as DoorDash girl aka Olivia Henderson aka irlmonsterhighgirl has been arrested. #doordash #doordashgirl #arrested #update #irlmonsterhighdoll,en,114,FALSE,,FALSE,FALSE,26700,950,1139,970200,52800,437,3400000,378
TikTok,OliviaHenderson,7.57313E+18,2015-01-21T09:47:36.175000+00:00,DoorDash girl Olivia Henderson has been arrested and is facing two felony charges#doordash #doordashgirl #breakingnews #viral #fyp,en,114,FALSE,,FALSE,FALSE,496,41,16,163400,11200,0,181100,100
TikTok,OliviaHenderson,6.96144E+18,2015-01-19T18:13:57.264000+00:00,"I know, you don’t need to state how pretty I am. 😜💋✨🤞oh also if you wanna be in my cult make your profile the same as mine#oliviahendersonisaqueen",en,120,FALSE,,FALSE,FALSE,30,7,0,259,211,68,1229,28
TikTok,OliviaHenderson,7.57343E+18,2015-01-21T09:48:47.381000+00:00,crazy#viral #fypシ #doordash #foryoupage #trending ,en,114,FALSE,,FALSE,FALSE,88,9,1,1752,11500,53,2200000,411
TikTok,OliviaHenderson,7.57475E+18,2015-01-21T09:53:55.038000+00:00,DoorDash Girls Initial Police Report #truecrimetok #tiktokea #doordash #doordashdriver #arrested,en,114,FALSE,,FALSE,FALSE,410,26,47,78900,33400,8,1600000,7
TikTok,OliviaHenderson,7.57419E+18,2015-01-21T09:51:42.864000+00:00,"Replying to @happyhippie310 #doordash #dasher #oliviahenderson  #fyp #doordashgirl  If you’re going to come at me make sure you know who you’re talking to first. 😮‍💨 she screamed SA, when there was no threat to her, my question remains IF the roles were reversed would you still be defending the door dasher? 🤦‍♀️ BYE. ",en,114,FALSE,,FALSE,FALSE,161,18,1,3770,9708,7798,118800,894
TikTok,OliviaHenderson,7.57315E+18,2015-01-21T09:47:41.838000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 1115 #fyp #news #breakingnews #truecrime #doordash,en,114,FALSE,,FALSE,FALSE,2424,174,580,340800,9994,0,21800,36
TikTok,OliviaHenderson,7.57554E+18,2015-01-21T09:56:56.833000+00:00,Replying to @Glenn Dale McGee #doordashgirl #oliviahenderson #legaltok #fyp  ,un,105,FALSE,,FALSE,FALSE,855,130,17,50800,2586,559,137100,1342
TikTok,OliviaHenderson,7.57314E+18,2015-01-21T09:47:39.415000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 11/15 #fyp #news #breakingnews #truecrime #doordash ,en,114,FALSE,,FALSE,FALSE,77,2,2,10900,14500,23,292700,152
TikTok,OliviaHenderson,7.58229E+18,2015-01-21T10:23:08.371000+00:00,Court is in session #doordash #doordashgirl #oliviahenderson ,en,114,FALSE,,FALSE,FALSE,2109,248,37,39000,80600,5,2600000,257
TikTok,OliviaHenderson,7.57383E+18,2015-01-21T09:50:20.572000+00:00,Major update on DoorDash girl Olivia. The Oswego police department issued a statement with details. #doordash #doordashgirl #irlmonsterhighdoll #oswego #update ,en,114,FALSE,,FALSE,FALSE,45400,1595,2362,757700,52800,437,3400000,378
TikTok,OliviaHenderson,7.59453E+18,2015-01-21T11:10:38.995000+00:00,"Olivia Henderson, AKA DoorDash Girl, Allegedly Arrested on 11/15 — What Really Happened? #truecrime #DoorDash #breakingnews #allegedly #storytime #fyp #foryou #bnc_news #tiktok #news #pov #fypシ #viral #story",en,114,FALSE,,FALSE,FALSE,7,0,0,867,10200,65,2800,71
TikTok,OliviaHenderson,7.57339E+18,2015-01-21T09:48:37.321000+00:00,#fyp #randomcontent #foryouu #blowup? #foryoupage ,un,120,FALSE,,FALSE,FALSE,36,2,0,633,2185,223,479200,427
TikTok,OliviaHenderson,7.57355E+18,2015-01-21T09:49:14.249000+00:00,OLivia Henderson AKA DoorDash Girl has been ARRESTED! #foryou #fyp #usa🇺🇸 #truecrime #doordash ,en,114,FALSE,,FALSE,FALSE,28,1,0,5382,10700,0,463800,90
TikTok,OliviaHenderson,7.59753E+18,2015-01-21T11:22:17.205000+00:00,Tiktok DoorDash Girl Trial Update straight out of court: Things got worse for Olivia Henderson known online as the DoorDash Girl. For allegedly opening the door to her customer and filmed him nude within his home and posted it on TikTok. It seems like the prosecutors have divested the case to county court which is a higher level court. This move makes it look like it’s less likely for her to get a slap on the wrist. She’s currently facing 2 felonies: unlawful surveillance and dissemination of an unlawful surveillance. Which has a max penalty of 8 years in prison combined and minimum sentence of a couple years on probation.,en,114,FALSE,,FALSE,FALSE,958,32,23,21100,28900,154,1400000,385
TikTok,OliviaHenderson,7.56663E+18,2015-01-21T09:22:24.312000+00:00,#stitch with @skiii.2025 #realisrare💯 #doordashgirl #imfamous #fypシ ,un,105,FALSE,,FALSE,FALSE,12,0,4,7283,3989,4750,10800,672
TikTok,OliviaHenderson,7.57622E+18,2015-01-21T09:59:36.573000+00:00,Doordash Girl Olivia Henderson Goes To Jail As She Awaits Charges For Unlawful Surveillance #news #fouryou #trending #breaking #react ,en,114,FALSE,,FALSE,FALSE,71,6,2,12800,2500,0,26200,302
TikTok,OliviaHenderson,7.57452E+18,2015-01-21T09:53:00.525000+00:00,Final thoughts on that! #fyp #doordashgirl ,en,105,FALSE,,FALSE,FALSE,163,24,4,4646,14800,4195,2000000,1283
TikTok,OliviaHenderson,7.59833E+18,2015-01-21T11:25:23.091000+00:00,Door dash girl update / Olivia Henderson ,en,114,FALSE,,FALSE,FALSE,591,33,6,11700,57100,42,14400000,1803
TikTok,OliviaHenderson,7.576E+18,2015-01-21T09:58:44.535000+00:00,"Replying to @LaVar Jay to be clear, she’s already released lol she isnt in jail. But you guys!! Olivia Henderson can easily argue against her charges!! Praying she doesn’t plead guilty in Jesus’s holy name!! #greenscreen #doordash #feminist #leftisttiktok #survivors",en,114,FALSE,,FALSE,FALSE,70,28,0,4288,736,1506,17200,338
TikTok,OliviaHenderson,7.58504E+18,2015-01-21T10:33:50.460000+00:00,DoorDash girl Olivia Henderson was seen in court and she plead not guilty #fypシ #viraltiktok #foryou #irlmonsterhighdoll #viralvideo,en,114,FALSE,,FALSE,FALSE,64,2,4,5859,27500,55,350700,309
TikTok,OliviaHenderson,7.59746E+18,2015-01-21T11:22:02.127000+00:00,"Disclaimer: I misspoke in my excitement. What I meant is that her case has moved into Superior Court, which is where it proceeds through motions and hearings and, if it doesn’t resolve by plea, it can go to a jury trial. A grand jury is only used to decide whether there’s enough probable cause for an indictment, it is not the trial. #themanicuredmom #doordashgirl #oliviahenderson #falseallegations #falseallegationsruinlives",en,114,FALSE,,FALSE,FALSE,2659,100,53,67000,260000,3374,4800000,2230
TikTok,OliviaHenderson,7.57505E+18,2015-01-21T09:55:03.470000+00:00,Mb for the chapped lips but she crazy asl thinking it wouldn’t be any reprucussions #fyp #xyzbca #oliviahenderson #doordash ,en,105,FALSE,,FALSE,FALSE,67,7,0,1058,672,277,78400,135
TikTok,OliviaHenderson,7.57413E+18,2015-01-21T09:51:30.014000+00:00,#doordashgirl #doordashdriver #OliviaHenderson @B 🏳‍🌈🏳️‍⚧️  so this is absolutely hilarious. This kid is so out of touch with reality. He thinks I’m mad. I’m getting a kick out of this.,en,120,FALSE,,FALSE,FALSE,4,1,0,169,4466,1080,7828,213
TikTok,OliviaHenderson,7.53956E+18,2015-01-21T07:37:21.054000+00:00,Maybe Kaylee’s way of keeping her brother’s heart safe was by bringing Olivia into his life 🤍✨ What do you all think about their story? 💭 #kayleegoncalves #chroniclesofolivia #idaho4 #truecrime #fypシ ,en,114,FALSE,,FALSE,FALSE,1331,40,57,50800,130000,294,11600000,1775
TikTok,OliviaHenderson,7.57329E+18,2015-01-21T09:48:13.702000+00:00,"olivia henderson, the doordash delivery woman, has been taken into custody for 2 counts of felony charges. the way that people are talking about this situation genuinely breaks my heart. with the current president of the u.s. having been charged with SAing a woman, i’m saddened to say i’m not surprised. if you’re a victim of SA, i believe you. if you’re a victim of SA, no matter how you respond, it is not your fault.  the video clip in the video is from @Beatriz  #doordash #olivia #delivery ",en,114,FALSE,,FALSE,FALSE,1053,249,38,40600,24500,1064,1000000,423
TikTok,OliviaHenderson,7.57351E+18,2015-01-21T09:49:05.566000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! #fyp #news #breakingnews #truecrime #doordash,en,114,FALSE,,FALSE,FALSE,64,9,0,1022,10400,0,9773,12
TikTok,OliviaHenderson,7.57303E+18,2015-01-21T09:47:12.766000+00:00,Replying to @.envxsi #oliviahendersonisaqueen #oliviahendersonarmy #doordashgirl #doordash #fyp ,un,110,FALSE,,FALSE,FALSE,111,223,9,25500,3183,1865,469600,7151
TikTok,OliviaHenderson,7.57352E+18,2015-01-21T09:49:06.407000+00:00,DoorDash girl has been arrested and charged for recording the man in his home when she was supposed to be dropping off food #foryou #doordash #olivia ,en,114,FALSE,,FALSE,FALSE,23,0,6,1763,49400,1,464900,255
TikTok,OliviaHenderson,7.57361E+18,2015-01-21T09:49:28.089000+00:00,"i support olivia henderson, the doordash delivery woman. the police & the legal system do not protect victims or marginalized communities. poc, the unhoused, & women have been denied justice historically due to systemic prejudice. legality does not dictate morality & i stand with the victim.  #olivia #doordash #delivery ",en,114,FALSE,,FALSE,FALSE,4598,621,124,35900,24500,1064,1000000,423
TikTok,OliviaHenderson,7.57348E+18,2015-01-21T09:48:57.481000+00:00,"Predators and thoughtless bums dni, this is not a ground for open debate so yes anyone disagreeing with me or spouting bs will be deleted😝",en,114,FALSE,,FALSE,FALSE,45,5,1,1667,2145,51,470500,310
TikTok,OliviaHenderson,7.58987E+18,2015-01-21T10:52:34.701000+00:00,,un,113,FALSE,,FALSE,FALSE,2,0,0,42,36,57,141,48
TikTok,OliviaHenderson,7.58259E+18,2015-01-21T10:24:18.211000+00:00,The infamous DoorDash driver who posted a customer naked on social media had her first court date #doordashgirl #oliviahenderson #viral #fyp #greenscreen ,en,114,FALSE,,FALSE,FALSE,328,12,15,16200,18100,6,448400,143
TikTok,OliviaHenderson,7.58132E+18,2015-01-21T10:19:24.199000+00:00,but don’t worry as long as it happens multiple times first they might actually do something! #oliviahenderson #fypage #doordashdriver #sa #storytime #women #doordashgirl #police #crimetok ,en,114,FALSE,,FALSE,FALSE,73,107,1,3968,703,6,264200,65
TikTok,OliviaHenderson,7.57636E+18,2015-01-21T10:00:08.159000+00:00,"it’s getting weird. I’m telling yall since the Amber Heard trial it’s been downhill. that smear campaign really did a number on the public.  and especially after the recent smear campaign against Olivia Henderson too. this is getting insanely scary, this behavior against victims is not normal. #kierabreaugh #abuseawareness ",en,114,FALSE,,FALSE,FALSE,1113,56,7,29200,13100,2092,2200000,1514
TikTok,OliviaHenderson,7.58241E+18,2015-01-21T10:23:38.257000+00:00,DOORDASH GIRL LOST FOR WORDS AFTER FIRST COURT APPEARANCE 😬 #yaboyant #doordash #girl #arrested #prison ,en,114,FALSE,,FALSE,FALSE,1853,34,57,60100,74300,52,3900000,1344
TikTok,OliviaHenderson,7.57364E+18,2015-01-21T09:49:35.450000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fypシ #foryoupage,en,114,FALSE,,FALSE,FALSE,35,6,2,20200,9927,3,32100,65
TikTok,OliviaHenderson,7.57296E+18,2015-01-21T09:46:57.086000+00:00,"She’s been arrested yall #doordashgirl #fyp #lol #oliviahenderson @Stephanie, Esq. ",en,114,FALSE,,FALSE,FALSE,121,11,3,7807,2586,559,137100,1342
TikTok,OliviaHenderson,7.57413E+18,2015-01-21T09:51:30.542000+00:00,"TLDW Don’t post until you need to, don’t implicate yourself, report first, court of public opinion second. #doordasher #oliviahenderson #scandal #viraltiktok #lessons ",en,114,FALSE,,FALSE,FALSE,38,8,0,496,16000,567,1800000,1668
TikTok,OliviaHenderson,7.5958E+18,2015-01-21T11:15:35.005000+00:00,Fake #doordash victim?? Yup lets talk about #oliviahenderson and her fake victim outcry! #truecrime #truecrimetok #letstalkaboutit ,en,114,FALSE,,FALSE,FALSE,6,0,0,211,153,43,813,35
